Mie Scattering and Absorption for 100Au_0Ag 40nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.000206 0.001621
280.00 0.000176 0.001486
290.00 0.000150 0.001365
300.00 0.000128 0.001259
310.00 0.000109 0.001168
320.00 0.000093 0.001093
330.00 0.000080 0.001034
340.00 0.000070 0.000993
350.00 0.000061 0.000969
360.00 0.000055 0.000956
370.00 0.000050 0.000945
380.00 0.000047 0.000930
390.00 0.000043 0.000909
400.00 0.000039 0.000885
410.00 0.000036 0.000859
420.00 0.000033 0.000835
430.00 0.000030 0.000817
440.00 0.000027 0.000809
450.00 0.000025 0.000815
460.00 0.000023 0.000846
470.00 0.000022 0.000912
480.00 0.000023 0.001025
490.00 0.000026 0.001182
500.00 0.000033 0.001335
510.00 0.000041 0.001332
520.00 0.000044 0.001073
530.00 0.000040 0.000726
540.00 0.000033 0.000463
550.00 0.000028 0.000300
560.00 0.000023 0.000202
570.00 0.000020 0.000143
580.00 0.000017 0.000105
590.00 0.000015 0.000080
600.00 0.000013 0.000062
610.00 0.000012 0.000050
620.00 0.000010 0.000041
630.00 0.000009 0.000034
640.00 0.000009 0.000029
650.00 0.000008 0.000025
660.00 0.000007 0.000021
670.00 0.000007 0.000019
680.00 0.000006 0.000017
690.00 0.000006 0.000015
700.00 0.000005 0.000013
710.00 0.000005 0.000012
720.00 0.000004 0.000011
730.00 0.000004 0.000010
740.00 0.000004 0.000009
750.00 0.000004 0.000009
760.00 0.000003 0.000008
770.00 0.000003 0.000007
780.00 0.000003 0.000007
790.00 0.000003 0.000006
800.00 0.000003 0.000006
810.00 0.000003 0.000006
820.00 0.000002 0.000005
830.00 0.000002 0.000005
840.00 0.000002 0.000005
850.00 0.000002 0.000005
860.00 0.000002 0.000004
870.00 0.000002 0.000004
880.00 0.000002 0.000004
890.00 0.000002 0.000004
900.00 0.000002 0.000004
910.00 0.000001 0.000004
920.00 0.000001 0.000003
930.00 0.000001 0.000003
940.00 0.000001 0.000003
950.00 0.000001 0.000003
960.00 0.000001 0.000003
970.00 0.000001 0.000003
980.00 0.000001 0.000003
990.00 0.000001 0.000003
1000.00 0.000001 0.000003
1010.00 0.000001 0.000003
1020.00 0.000001 0.000003
1030.00 0.000001 0.000002
1040.00 0.000001 0.000002
1050.00 0.000001 0.000002
1060.00 0.000001 0.000002
1070.00 0.000001 0.000002
1080.00 0.000001 0.000002
1090.00 0.000001 0.000002
1100.00 0.000001 0.000002
1110.00 0.000001 0.000002
1120.00 0.000001 0.000002
1130.00 0.000001 0.000002
1140.00 0.000001 0.000002
1150.00 0.000001 0.000002
1160.00 0.000001 0.000002
1170.00 0.000000 0.000002
1180.00 0.000000 0.000002
1190.00 0.000000 0.000002
1200.00 0.000000 0.000002
