Mie Scattering and Absorption for 65Au_35Ag 50nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.000663 0.003419
280.00 0.000587 0.003243
290.00 0.000516 0.003071
300.00 0.000453 0.002910
310.00 0.000397 0.002764
320.00 0.000348 0.002637
330.00 0.000306 0.002533
340.00 0.000271 0.002451
350.00 0.000242 0.002395
360.00 0.000219 0.002364
370.00 0.000201 0.002357
380.00 0.000187 0.002372
390.00 0.000178 0.002407
400.00 0.000172 0.002459
410.00 0.000169 0.002528
420.00 0.000170 0.002618
430.00 0.000177 0.002737
440.00 0.000191 0.002868
450.00 0.000212 0.002936
460.00 0.000230 0.002815
470.00 0.000234 0.002446
480.00 0.000219 0.001939
490.00 0.000193 0.001457
500.00 0.000166 0.001082
510.00 0.000141 0.000812
520.00 0.000121 0.000622
530.00 0.000104 0.000488
540.00 0.000090 0.000391
550.00 0.000079 0.000320
560.00 0.000070 0.000266
570.00 0.000062 0.000225
580.00 0.000056 0.000193
590.00 0.000050 0.000168
600.00 0.000045 0.000147
610.00 0.000041 0.000130
620.00 0.000037 0.000116
630.00 0.000034 0.000105
640.00 0.000031 0.000095
650.00 0.000029 0.000087
660.00 0.000026 0.000080
670.00 0.000024 0.000073
680.00 0.000023 0.000068
690.00 0.000021 0.000063
700.00 0.000020 0.000059
710.00 0.000018 0.000055
720.00 0.000017 0.000052
730.00 0.000016 0.000049
740.00 0.000015 0.000046
750.00 0.000014 0.000044
760.00 0.000013 0.000042
770.00 0.000012 0.000040
780.00 0.000012 0.000038
790.00 0.000011 0.000036
800.00 0.000010 0.000035
810.00 0.000010 0.000033
820.00 0.000009 0.000032
830.00 0.000009 0.000031
840.00 0.000008 0.000030
850.00 0.000008 0.000029
860.00 0.000007 0.000028
870.00 0.000007 0.000027
880.00 0.000007 0.000026
890.00 0.000006 0.000025
900.00 0.000006 0.000025
910.00 0.000006 0.000024
920.00 0.000005 0.000023
930.00 0.000005 0.000023
940.00 0.000005 0.000022
950.00 0.000005 0.000021
960.00 0.000004 0.000021
970.00 0.000004 0.000020
980.00 0.000004 0.000020
990.00 0.000004 0.000019
1000.00 0.000004 0.000019
1010.00 0.000004 0.000019
1020.00 0.000003 0.000018
1030.00 0.000003 0.000018
1040.00 0.000003 0.000018
1050.00 0.000003 0.000017
1060.00 0.000003 0.000017
1070.00 0.000003 0.000017
1080.00 0.000003 0.000016
1090.00 0.000003 0.000016
1100.00 0.000002 0.000016
1110.00 0.000002 0.000015
1120.00 0.000002 0.000015
1130.00 0.000002 0.000015
1140.00 0.000002 0.000015
1150.00 0.000002 0.000015
1160.00 0.000002 0.000014
1170.00 0.000002 0.000014
1180.00 0.000002 0.000014
1190.00 0.000002 0.000014
1200.00 0.000002 0.000014
