Mie Scattering and Absorption for 55Au_45Ag 60nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.001684 0.005635
280.00 0.001531 0.005474
290.00 0.001379 0.005292
300.00 0.001233 0.005104
310.00 0.001098 0.004921
320.00 0.000976 0.004754
330.00 0.000868 0.004612
340.00 0.000776 0.004504
350.00 0.000699 0.004436
360.00 0.000638 0.004414
370.00 0.000593 0.004438
380.00 0.000562 0.004512
390.00 0.000545 0.004634
400.00 0.000542 0.004812
410.00 0.000559 0.005065
420.00 0.000605 0.005410
430.00 0.000691 0.005797
440.00 0.000806 0.006004
450.00 0.000897 0.005712
460.00 0.000903 0.004857
470.00 0.000827 0.003778
480.00 0.000716 0.002819
490.00 0.000605 0.002094
500.00 0.000510 0.001577
510.00 0.000433 0.001214
520.00 0.000370 0.000955
530.00 0.000319 0.000767
540.00 0.000278 0.000629
550.00 0.000244 0.000524
560.00 0.000215 0.000444
570.00 0.000192 0.000381
580.00 0.000171 0.000331
590.00 0.000154 0.000290
600.00 0.000139 0.000257
610.00 0.000126 0.000230
620.00 0.000115 0.000207
630.00 0.000105 0.000188
640.00 0.000096 0.000171
650.00 0.000088 0.000157
660.00 0.000081 0.000145
670.00 0.000075 0.000134
680.00 0.000069 0.000125
690.00 0.000064 0.000117
700.00 0.000060 0.000110
710.00 0.000056 0.000103
720.00 0.000052 0.000097
730.00 0.000048 0.000092
740.00 0.000045 0.000087
750.00 0.000042 0.000083
760.00 0.000040 0.000079
770.00 0.000037 0.000076
780.00 0.000035 0.000072
790.00 0.000033 0.000069
800.00 0.000031 0.000067
810.00 0.000029 0.000064
820.00 0.000028 0.000062
830.00 0.000026 0.000060
840.00 0.000025 0.000058
850.00 0.000023 0.000056
860.00 0.000022 0.000054
870.00 0.000021 0.000052
880.00 0.000020 0.000051
890.00 0.000019 0.000049
900.00 0.000018 0.000048
910.00 0.000017 0.000047
920.00 0.000016 0.000046
930.00 0.000016 0.000045
940.00 0.000015 0.000043
950.00 0.000014 0.000042
960.00 0.000014 0.000041
970.00 0.000013 0.000041
980.00 0.000012 0.000040
990.00 0.000012 0.000039
1000.00 0.000011 0.000038
1010.00 0.000011 0.000037
1020.00 0.000010 0.000037
1030.00 0.000010 0.000036
1040.00 0.000010 0.000035
1050.00 0.000009 0.000035
1060.00 0.000009 0.000034
1070.00 0.000008 0.000034
1080.00 0.000008 0.000033
1090.00 0.000008 0.000033
1100.00 0.000007 0.000032
1110.00 0.000007 0.000032
1120.00 0.000007 0.000031
1130.00 0.000007 0.000031
1140.00 0.000006 0.000030
1150.00 0.000006 0.000030
1160.00 0.000006 0.000029
1170.00 0.000006 0.000029
1180.00 0.000006 0.000029
1190.00 0.000005 0.000028
1200.00 0.000005 0.000028
