Mie Scattering and Absorption for 30Au_70Ag 80nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.005123 0.010004
280.00 0.004894 0.010096
290.00 0.004603 0.010135
300.00 0.004264 0.010122
310.00 0.003894 0.010066
320.00 0.003514 0.009986
330.00 0.003147 0.009910
340.00 0.002814 0.009867
350.00 0.002527 0.009885
360.00 0.002291 0.009992
370.00 0.002151 0.010295
380.00 0.002305 0.011097
390.00 0.003042 0.012678
400.00 0.004612 0.014988
410.00 0.007008 0.017375
420.00 0.009555 0.018501
430.00 0.010898 0.017073
440.00 0.010426 0.013655
450.00 0.008908 0.010030
460.00 0.007251 0.007183
470.00 0.005840 0.005192
480.00 0.004734 0.003842
490.00 0.003885 0.002920
500.00 0.003232 0.002277
510.00 0.002723 0.001819
520.00 0.002321 0.001484
530.00 0.002000 0.001233
540.00 0.001738 0.001041
550.00 0.001523 0.000892
560.00 0.001343 0.000774
570.00 0.001193 0.000678
580.00 0.001065 0.000601
590.00 0.000955 0.000537
600.00 0.000861 0.000484
610.00 0.000779 0.000439
620.00 0.000707 0.000401
630.00 0.000644 0.000368
640.00 0.000589 0.000339
650.00 0.000540 0.000315
660.00 0.000496 0.000293
670.00 0.000457 0.000274
680.00 0.000422 0.000257
690.00 0.000391 0.000242
700.00 0.000362 0.000229
710.00 0.000336 0.000217
720.00 0.000313 0.000206
730.00 0.000292 0.000196
740.00 0.000272 0.000187
750.00 0.000255 0.000179
760.00 0.000238 0.000171
770.00 0.000224 0.000165
780.00 0.000210 0.000158
790.00 0.000197 0.000152
800.00 0.000186 0.000147
810.00 0.000175 0.000142
820.00 0.000165 0.000138
830.00 0.000156 0.000133
840.00 0.000147 0.000129
850.00 0.000139 0.000125
860.00 0.000132 0.000122
870.00 0.000125 0.000119
880.00 0.000118 0.000116
890.00 0.000112 0.000113
900.00 0.000107 0.000110
910.00 0.000101 0.000107
920.00 0.000096 0.000105
930.00 0.000092 0.000103
940.00 0.000087 0.000100
950.00 0.000083 0.000098
960.00 0.000079 0.000096
970.00 0.000076 0.000095
980.00 0.000072 0.000093
990.00 0.000069 0.000091
1000.00 0.000066 0.000090
1010.00 0.000063 0.000088
1020.00 0.000061 0.000087
1030.00 0.000058 0.000085
1040.00 0.000056 0.000084
1050.00 0.000053 0.000083
1060.00 0.000051 0.000081
1070.00 0.000049 0.000080
1080.00 0.000047 0.000079
1090.00 0.000045 0.000078
1100.00 0.000043 0.000077
1110.00 0.000042 0.000076
1120.00 0.000040 0.000075
1130.00 0.000039 0.000074
1140.00 0.000037 0.000073
1150.00 0.000036 0.000072
1160.00 0.000035 0.000072
1170.00 0.000033 0.000071
1180.00 0.000032 0.000070
1190.00 0.000031 0.000069
1200.00 0.000030 0.000068
