Mie Scattering and Absorption for 90Au_10Ag 70nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.004039 0.007883
280.00 0.003768 0.007764
290.00 0.003468 0.007588
300.00 0.003153 0.007370
310.00 0.002839 0.007128
320.00 0.002537 0.006879
330.00 0.002257 0.006641
340.00 0.002006 0.006431
350.00 0.001789 0.006261
360.00 0.001610 0.006139
370.00 0.001467 0.006058
380.00 0.001355 0.006005
390.00 0.001263 0.005962
400.00 0.001184 0.005915
410.00 0.001112 0.005862
420.00 0.001043 0.005811
430.00 0.000979 0.005780
440.00 0.000921 0.005798
450.00 0.000878 0.005908
460.00 0.000865 0.006160
470.00 0.000903 0.006582
480.00 0.001012 0.007112
490.00 0.001191 0.007479
500.00 0.001371 0.007199
510.00 0.001430 0.006044
520.00 0.001333 0.004497
530.00 0.001158 0.003157
540.00 0.000980 0.002209
550.00 0.000828 0.001582
560.00 0.000706 0.001170
570.00 0.000608 0.000893
580.00 0.000529 0.000701
590.00 0.000465 0.000565
600.00 0.000412 0.000465
610.00 0.000368 0.000389
620.00 0.000330 0.000332
630.00 0.000298 0.000286
640.00 0.000270 0.000250
650.00 0.000246 0.000221
660.00 0.000225 0.000197
670.00 0.000206 0.000177
680.00 0.000190 0.000161
690.00 0.000175 0.000146
700.00 0.000162 0.000134
710.00 0.000150 0.000124
720.00 0.000139 0.000115
730.00 0.000130 0.000107
740.00 0.000121 0.000100
750.00 0.000113 0.000094
760.00 0.000106 0.000089
770.00 0.000099 0.000084
780.00 0.000093 0.000079
790.00 0.000087 0.000075
800.00 0.000082 0.000072
810.00 0.000077 0.000068
820.00 0.000073 0.000066
830.00 0.000069 0.000063
840.00 0.000065 0.000060
850.00 0.000061 0.000058
860.00 0.000058 0.000056
870.00 0.000055 0.000054
880.00 0.000052 0.000052
890.00 0.000050 0.000051
900.00 0.000047 0.000049
910.00 0.000045 0.000048
920.00 0.000043 0.000046
930.00 0.000040 0.000045
940.00 0.000039 0.000044
950.00 0.000037 0.000043
960.00 0.000035 0.000042
970.00 0.000033 0.000041
980.00 0.000032 0.000040
990.00 0.000031 0.000039
1000.00 0.000029 0.000038
1010.00 0.000028 0.000037
1020.00 0.000027 0.000036
1030.00 0.000026 0.000036
1040.00 0.000025 0.000035
1050.00 0.000024 0.000034
1060.00 0.000023 0.000034
1070.00 0.000022 0.000033
1080.00 0.000021 0.000033
1090.00 0.000020 0.000032
1100.00 0.000019 0.000032
1110.00 0.000018 0.000031
1120.00 0.000018 0.000031
1130.00 0.000017 0.000030
1140.00 0.000016 0.000030
1150.00 0.000016 0.000029
1160.00 0.000015 0.000029
1170.00 0.000015 0.000029
1180.00 0.000014 0.000028
1190.00 0.000014 0.000028
1200.00 0.000013 0.000027
