Mie Scattering and Absorption for 60Au_40Ag 50nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.000651 0.003433
280.00 0.000576 0.003262
290.00 0.000508 0.003095
300.00 0.000446 0.002939
310.00 0.000391 0.002798
320.00 0.000344 0.002676
330.00 0.000303 0.002577
340.00 0.000269 0.002501
350.00 0.000241 0.002452
360.00 0.000218 0.002430
370.00 0.000201 0.002434
380.00 0.000189 0.002463
390.00 0.000181 0.002515
400.00 0.000177 0.002589
410.00 0.000178 0.002689
420.00 0.000184 0.002823
430.00 0.000199 0.002986
440.00 0.000223 0.003118
450.00 0.000249 0.003082
460.00 0.000260 0.002765
470.00 0.000249 0.002240
480.00 0.000222 0.001700
490.00 0.000190 0.001262
500.00 0.000161 0.000943
510.00 0.000137 0.000718
520.00 0.000118 0.000559
530.00 0.000102 0.000445
540.00 0.000089 0.000362
550.00 0.000078 0.000300
560.00 0.000069 0.000252
570.00 0.000061 0.000215
580.00 0.000055 0.000186
590.00 0.000049 0.000163
600.00 0.000045 0.000143
610.00 0.000041 0.000128
620.00 0.000037 0.000115
630.00 0.000034 0.000104
640.00 0.000031 0.000094
650.00 0.000029 0.000086
660.00 0.000026 0.000079
670.00 0.000024 0.000073
680.00 0.000023 0.000068
690.00 0.000021 0.000064
700.00 0.000019 0.000059
710.00 0.000018 0.000056
720.00 0.000017 0.000053
730.00 0.000016 0.000050
740.00 0.000015 0.000047
750.00 0.000014 0.000045
760.00 0.000013 0.000042
770.00 0.000012 0.000040
780.00 0.000011 0.000039
790.00 0.000011 0.000037
800.00 0.000010 0.000035
810.00 0.000010 0.000034
820.00 0.000009 0.000033
830.00 0.000009 0.000032
840.00 0.000008 0.000030
850.00 0.000008 0.000029
860.00 0.000007 0.000028
870.00 0.000007 0.000028
880.00 0.000007 0.000027
890.00 0.000006 0.000026
900.00 0.000006 0.000025
910.00 0.000006 0.000024
920.00 0.000005 0.000024
930.00 0.000005 0.000023
940.00 0.000005 0.000023
950.00 0.000005 0.000022
960.00 0.000004 0.000021
970.00 0.000004 0.000021
980.00 0.000004 0.000021
990.00 0.000004 0.000020
1000.00 0.000004 0.000020
1010.00 0.000004 0.000019
1020.00 0.000003 0.000019
1030.00 0.000003 0.000018
1040.00 0.000003 0.000018
1050.00 0.000003 0.000018
1060.00 0.000003 0.000017
1070.00 0.000003 0.000017
1080.00 0.000003 0.000017
1090.00 0.000003 0.000017
1100.00 0.000002 0.000016
1110.00 0.000002 0.000016
1120.00 0.000002 0.000016
1130.00 0.000002 0.000015
1140.00 0.000002 0.000015
1150.00 0.000002 0.000015
1160.00 0.000002 0.000015
1170.00 0.000002 0.000015
1180.00 0.000002 0.000014
1190.00 0.000002 0.000014
1200.00 0.000002 0.000014
