Mie Scattering and Absorption for 70Au_30Ag 40nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.000184 0.001716
280.00 0.000160 0.001603
290.00 0.000139 0.001499
300.00 0.000120 0.001407
310.00 0.000105 0.001327
320.00 0.000091 0.001260
330.00 0.000080 0.001205
340.00 0.000070 0.001163
350.00 0.000063 0.001135
360.00 0.000056 0.001118
370.00 0.000051 0.001114
380.00 0.000048 0.001119
390.00 0.000045 0.001132
400.00 0.000043 0.001151
410.00 0.000042 0.001175
420.00 0.000041 0.001206
430.00 0.000041 0.001247
440.00 0.000043 0.001299
450.00 0.000046 0.001347
460.00 0.000050 0.001345
470.00 0.000053 0.001241
480.00 0.000052 0.001037
490.00 0.000048 0.000800
500.00 0.000042 0.000594
510.00 0.000036 0.000441
520.00 0.000031 0.000332
530.00 0.000026 0.000256
540.00 0.000023 0.000202
550.00 0.000020 0.000163
560.00 0.000018 0.000134
570.00 0.000016 0.000112
580.00 0.000014 0.000096
590.00 0.000013 0.000082
600.00 0.000011 0.000072
610.00 0.000010 0.000063
620.00 0.000010 0.000056
630.00 0.000009 0.000050
640.00 0.000008 0.000045
650.00 0.000007 0.000041
660.00 0.000007 0.000038
670.00 0.000006 0.000035
680.00 0.000006 0.000032
690.00 0.000005 0.000030
700.00 0.000005 0.000028
710.00 0.000005 0.000026
720.00 0.000004 0.000024
730.00 0.000004 0.000023
740.00 0.000004 0.000021
750.00 0.000004 0.000020
760.00 0.000003 0.000019
770.00 0.000003 0.000018
780.00 0.000003 0.000017
790.00 0.000003 0.000017
800.00 0.000003 0.000016
810.00 0.000002 0.000015
820.00 0.000002 0.000015
830.00 0.000002 0.000014
840.00 0.000002 0.000013
850.00 0.000002 0.000013
860.00 0.000002 0.000013
870.00 0.000002 0.000012
880.00 0.000002 0.000012
890.00 0.000002 0.000011
900.00 0.000002 0.000011
910.00 0.000001 0.000011
920.00 0.000001 0.000010
930.00 0.000001 0.000010
940.00 0.000001 0.000010
950.00 0.000001 0.000009
960.00 0.000001 0.000009
970.00 0.000001 0.000009
980.00 0.000001 0.000009
990.00 0.000001 0.000009
1000.00 0.000001 0.000008
1010.00 0.000001 0.000008
1020.00 0.000001 0.000008
1030.00 0.000001 0.000008
1040.00 0.000001 0.000008
1050.00 0.000001 0.000007
1060.00 0.000001 0.000007
1070.00 0.000001 0.000007
1080.00 0.000001 0.000007
1090.00 0.000001 0.000007
1100.00 0.000001 0.000007
1110.00 0.000001 0.000007
1120.00 0.000001 0.000007
1130.00 0.000001 0.000006
1140.00 0.000001 0.000006
1150.00 0.000001 0.000006
1160.00 0.000001 0.000006
1170.00 0.000000 0.000006
1180.00 0.000000 0.000006
1190.00 0.000000 0.000006
1200.00 0.000000 0.000006
