Mie Scattering and Absorption for 45Au_55Ag 60nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.001617 0.005643
280.00 0.001469 0.005492
290.00 0.001321 0.005320
300.00 0.001180 0.005142
310.00 0.001048 0.004970
320.00 0.000930 0.004817
330.00 0.000826 0.004693
340.00 0.000738 0.004610
350.00 0.000667 0.004574
360.00 0.000613 0.004595
370.00 0.000575 0.004677
380.00 0.000555 0.004831
390.00 0.000555 0.005081
400.00 0.000590 0.005482
410.00 0.000684 0.006081
420.00 0.000855 0.006759
430.00 0.001063 0.007090
440.00 0.001190 0.006580
450.00 0.001158 0.005353
460.00 0.001019 0.004010
470.00 0.000856 0.002923
480.00 0.000709 0.002143
490.00 0.000589 0.001603
500.00 0.000494 0.001229
510.00 0.000419 0.000964
520.00 0.000359 0.000774
530.00 0.000311 0.000633
540.00 0.000272 0.000528
550.00 0.000239 0.000447
560.00 0.000212 0.000383
570.00 0.000189 0.000333
580.00 0.000169 0.000292
590.00 0.000152 0.000259
600.00 0.000138 0.000231
610.00 0.000125 0.000208
620.00 0.000114 0.000189
630.00 0.000104 0.000172
640.00 0.000096 0.000158
650.00 0.000088 0.000146
660.00 0.000081 0.000135
670.00 0.000075 0.000126
680.00 0.000069 0.000117
690.00 0.000064 0.000110
700.00 0.000060 0.000103
710.00 0.000056 0.000098
720.00 0.000052 0.000092
730.00 0.000048 0.000088
740.00 0.000045 0.000083
750.00 0.000042 0.000079
760.00 0.000040 0.000076
770.00 0.000037 0.000073
780.00 0.000035 0.000070
790.00 0.000033 0.000067
800.00 0.000031 0.000064
810.00 0.000029 0.000062
820.00 0.000028 0.000060
830.00 0.000026 0.000058
840.00 0.000025 0.000056
850.00 0.000023 0.000054
860.00 0.000022 0.000052
870.00 0.000021 0.000051
880.00 0.000020 0.000049
890.00 0.000019 0.000048
900.00 0.000018 0.000047
910.00 0.000017 0.000046
920.00 0.000016 0.000044
930.00 0.000016 0.000043
940.00 0.000015 0.000042
950.00 0.000014 0.000041
960.00 0.000014 0.000041
970.00 0.000013 0.000040
980.00 0.000012 0.000039
990.00 0.000012 0.000038
1000.00 0.000011 0.000037
1010.00 0.000011 0.000037
1020.00 0.000010 0.000036
1030.00 0.000010 0.000035
1040.00 0.000010 0.000035
1050.00 0.000009 0.000034
1060.00 0.000009 0.000033
1070.00 0.000008 0.000033
1080.00 0.000008 0.000032
1090.00 0.000008 0.000032
1100.00 0.000007 0.000031
1110.00 0.000007 0.000031
1120.00 0.000007 0.000031
1130.00 0.000007 0.000030
1140.00 0.000006 0.000030
1150.00 0.000006 0.000029
1160.00 0.000006 0.000029
1170.00 0.000006 0.000029
1180.00 0.000006 0.000028
1190.00 0.000005 0.000028
1200.00 0.000005 0.000027
