Mie Scattering and Absorption for 80Au_20Ag 70nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.003837 0.007909
280.00 0.003591 0.007814
290.00 0.003316 0.007666
300.00 0.003029 0.007476
310.00 0.002742 0.007262
320.00 0.002466 0.007040
330.00 0.002208 0.006825
340.00 0.001976 0.006633
350.00 0.001773 0.006476
360.00 0.001602 0.006362
370.00 0.001462 0.006292
380.00 0.001352 0.006263
390.00 0.001266 0.006264
400.00 0.001199 0.006284
410.00 0.001145 0.006318
420.00 0.001100 0.006369
430.00 0.001067 0.006454
440.00 0.001051 0.006607
450.00 0.001068 0.006862
460.00 0.001137 0.007214
470.00 0.001268 0.007537
480.00 0.001430 0.007524
490.00 0.001538 0.006858
500.00 0.001515 0.005606
510.00 0.001376 0.004227
520.00 0.001194 0.003085
530.00 0.001018 0.002257
540.00 0.000868 0.001686
550.00 0.000745 0.001293
560.00 0.000645 0.001017
570.00 0.000564 0.000819
580.00 0.000496 0.000673
590.00 0.000440 0.000564
600.00 0.000393 0.000480
610.00 0.000353 0.000414
620.00 0.000319 0.000361
630.00 0.000289 0.000319
640.00 0.000263 0.000284
650.00 0.000240 0.000255
660.00 0.000220 0.000231
670.00 0.000202 0.000211
680.00 0.000186 0.000193
690.00 0.000172 0.000178
700.00 0.000159 0.000165
710.00 0.000148 0.000154
720.00 0.000138 0.000144
730.00 0.000128 0.000135
740.00 0.000120 0.000127
750.00 0.000112 0.000120
760.00 0.000105 0.000113
770.00 0.000098 0.000108
780.00 0.000092 0.000103
790.00 0.000087 0.000098
800.00 0.000081 0.000094
810.00 0.000077 0.000090
820.00 0.000072 0.000086
830.00 0.000068 0.000083
840.00 0.000065 0.000080
850.00 0.000061 0.000077
860.00 0.000058 0.000074
870.00 0.000055 0.000072
880.00 0.000052 0.000070
890.00 0.000049 0.000068
900.00 0.000047 0.000066
910.00 0.000045 0.000064
920.00 0.000042 0.000062
930.00 0.000040 0.000061
940.00 0.000038 0.000059
950.00 0.000037 0.000058
960.00 0.000035 0.000056
970.00 0.000033 0.000055
980.00 0.000032 0.000054
990.00 0.000030 0.000053
1000.00 0.000029 0.000052
1010.00 0.000028 0.000051
1020.00 0.000027 0.000050
1030.00 0.000026 0.000049
1040.00 0.000025 0.000048
1050.00 0.000024 0.000047
1060.00 0.000023 0.000046
1070.00 0.000022 0.000045
1080.00 0.000021 0.000045
1090.00 0.000020 0.000044
1100.00 0.000019 0.000043
1110.00 0.000018 0.000043
1120.00 0.000018 0.000042
1130.00 0.000017 0.000041
1140.00 0.000016 0.000041
1150.00 0.000016 0.000040
1160.00 0.000015 0.000040
1170.00 0.000015 0.000039
1180.00 0.000014 0.000039
1190.00 0.000014 0.000038
1200.00 0.000013 0.000038
