Mie Scattering and Absorption for 5Au_95Ag 60nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.001232 0.005386
280.00 0.001037 0.005084
290.00 0.000829 0.004694
300.00 0.000620 0.004225
310.00 0.000421 0.003658
320.00 0.000182 0.002673
330.00 0.000101 0.002229
340.00 0.000302 0.002614
350.00 0.000867 0.003604
360.00 0.002306 0.005916
370.00 0.006245 0.009815
380.00 0.015012 0.016758
390.00 0.015513 0.013562
400.00 0.008487 0.006121
410.00 0.004751 0.002935
420.00 0.002989 0.001627
430.00 0.002057 0.001010
440.00 0.001507 0.000681
450.00 0.001155 0.000487
460.00 0.000915 0.000365
470.00 0.000743 0.000284
480.00 0.000616 0.000227
490.00 0.000518 0.000186
500.00 0.000442 0.000155
510.00 0.000381 0.000132
520.00 0.000332 0.000114
530.00 0.000291 0.000099
540.00 0.000257 0.000088
550.00 0.000228 0.000078
560.00 0.000204 0.000070
570.00 0.000183 0.000063
580.00 0.000165 0.000058
590.00 0.000149 0.000053
600.00 0.000136 0.000049
610.00 0.000124 0.000045
620.00 0.000113 0.000042
630.00 0.000104 0.000039
640.00 0.000095 0.000037
650.00 0.000088 0.000034
660.00 0.000081 0.000032
670.00 0.000075 0.000031
680.00 0.000069 0.000029
690.00 0.000064 0.000028
700.00 0.000060 0.000026
710.00 0.000056 0.000025
720.00 0.000052 0.000024
730.00 0.000049 0.000023
740.00 0.000046 0.000022
750.00 0.000043 0.000021
760.00 0.000040 0.000020
770.00 0.000038 0.000020
780.00 0.000035 0.000019
790.00 0.000033 0.000018
800.00 0.000031 0.000018
810.00 0.000030 0.000017
820.00 0.000028 0.000017
830.00 0.000026 0.000016
840.00 0.000025 0.000016
850.00 0.000024 0.000015
860.00 0.000022 0.000015
870.00 0.000021 0.000014
880.00 0.000020 0.000014
890.00 0.000019 0.000014
900.00 0.000018 0.000013
910.00 0.000017 0.000013
920.00 0.000017 0.000013
930.00 0.000016 0.000012
940.00 0.000015 0.000012
950.00 0.000014 0.000012
960.00 0.000014 0.000012
970.00 0.000013 0.000011
980.00 0.000012 0.000011
990.00 0.000012 0.000011
1000.00 0.000011 0.000011
1010.00 0.000011 0.000011
1020.00 0.000010 0.000010
1030.00 0.000010 0.000010
1040.00 0.000010 0.000010
1050.00 0.000009 0.000010
1060.00 0.000009 0.000010
1070.00 0.000009 0.000010
1080.00 0.000008 0.000010
1090.00 0.000008 0.000009
1100.00 0.000008 0.000009
1110.00 0.000007 0.000009
1120.00 0.000007 0.000009
1130.00 0.000007 0.000009
1140.00 0.000006 0.000009
1150.00 0.000006 0.000009
1160.00 0.000006 0.000009
1170.00 0.000006 0.000008
1180.00 0.000006 0.000008
1190.00 0.000005 0.000008
1200.00 0.000005 0.000008
