Mie Scattering and Absorption for 25Au_75Ag 60nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.001471 0.005614
280.00 0.001319 0.005453
290.00 0.001165 0.005266
300.00 0.001017 0.005070
310.00 0.000878 0.004882
320.00 0.000753 0.004719
330.00 0.000645 0.004598
340.00 0.000554 0.004527
350.00 0.000477 0.004513
360.00 0.000422 0.004620
370.00 0.000444 0.005099
380.00 0.000640 0.006227
390.00 0.001121 0.008130
400.00 0.001936 0.010369
410.00 0.002745 0.011230
420.00 0.002856 0.009308
430.00 0.002363 0.006362
440.00 0.001798 0.004123
450.00 0.001362 0.002728
460.00 0.001053 0.001882
470.00 0.000835 0.001356
480.00 0.000677 0.001014
490.00 0.000560 0.000784
500.00 0.000470 0.000623
510.00 0.000401 0.000507
520.00 0.000345 0.000421
530.00 0.000301 0.000355
540.00 0.000264 0.000304
550.00 0.000233 0.000264
560.00 0.000207 0.000232
570.00 0.000185 0.000205
580.00 0.000167 0.000184
590.00 0.000150 0.000165
600.00 0.000136 0.000150
610.00 0.000124 0.000137
620.00 0.000113 0.000126
630.00 0.000104 0.000116
640.00 0.000095 0.000108
650.00 0.000087 0.000100
660.00 0.000081 0.000094
670.00 0.000075 0.000088
680.00 0.000069 0.000083
690.00 0.000064 0.000078
700.00 0.000060 0.000074
710.00 0.000056 0.000070
720.00 0.000052 0.000067
730.00 0.000048 0.000064
740.00 0.000045 0.000061
750.00 0.000042 0.000058
760.00 0.000040 0.000056
770.00 0.000037 0.000054
780.00 0.000035 0.000052
790.00 0.000033 0.000050
800.00 0.000031 0.000048
810.00 0.000029 0.000046
820.00 0.000028 0.000045
830.00 0.000026 0.000043
840.00 0.000025 0.000042
850.00 0.000024 0.000041
860.00 0.000022 0.000040
870.00 0.000021 0.000038
880.00 0.000020 0.000037
890.00 0.000019 0.000036
900.00 0.000018 0.000036
910.00 0.000017 0.000035
920.00 0.000016 0.000034
930.00 0.000016 0.000033
940.00 0.000015 0.000032
950.00 0.000014 0.000032
960.00 0.000014 0.000031
970.00 0.000013 0.000030
980.00 0.000012 0.000030
990.00 0.000012 0.000029
1000.00 0.000011 0.000029
1010.00 0.000011 0.000028
1020.00 0.000010 0.000028
1030.00 0.000010 0.000027
1040.00 0.000010 0.000027
1050.00 0.000009 0.000026
1060.00 0.000009 0.000026
1070.00 0.000008 0.000025
1080.00 0.000008 0.000025
1090.00 0.000008 0.000025
1100.00 0.000008 0.000024
1110.00 0.000007 0.000024
1120.00 0.000007 0.000024
1130.00 0.000007 0.000023
1140.00 0.000006 0.000023
1150.00 0.000006 0.000023
1160.00 0.000006 0.000022
1170.00 0.000006 0.000022
1180.00 0.000006 0.000022
1190.00 0.000005 0.000022
1200.00 0.000005 0.000021
