Mie Scattering and Absorption for 40Au_60Ag 70nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.003214 0.007920
280.00 0.003004 0.007876
290.00 0.002772 0.007786
300.00 0.002529 0.007661
310.00 0.002286 0.007518
320.00 0.002055 0.007377
330.00 0.001843 0.007258
340.00 0.001658 0.007183
350.00 0.001506 0.007169
360.00 0.001389 0.007235
370.00 0.001311 0.007397
380.00 0.001277 0.007693
390.00 0.001318 0.008217
400.00 0.001513 0.009115
410.00 0.001952 0.010398
420.00 0.002638 0.011649
430.00 0.003319 0.011919
440.00 0.003589 0.010600
450.00 0.003357 0.008335
460.00 0.002877 0.006142
470.00 0.002378 0.004459
480.00 0.001952 0.003275
490.00 0.001613 0.002459
500.00 0.001347 0.001893
510.00 0.001138 0.001493
520.00 0.000972 0.001203
530.00 0.000839 0.000989
540.00 0.000731 0.000827
550.00 0.000641 0.000702
560.00 0.000567 0.000604
570.00 0.000504 0.000526
580.00 0.000451 0.000463
590.00 0.000405 0.000411
600.00 0.000366 0.000368
610.00 0.000331 0.000332
620.00 0.000301 0.000302
630.00 0.000275 0.000276
640.00 0.000252 0.000254
650.00 0.000231 0.000234
660.00 0.000213 0.000217
670.00 0.000196 0.000203
680.00 0.000181 0.000190
690.00 0.000168 0.000178
700.00 0.000156 0.000168
710.00 0.000145 0.000159
720.00 0.000135 0.000150
730.00 0.000126 0.000143
740.00 0.000118 0.000136
750.00 0.000110 0.000130
760.00 0.000103 0.000124
770.00 0.000097 0.000119
780.00 0.000091 0.000114
790.00 0.000086 0.000110
800.00 0.000081 0.000106
810.00 0.000076 0.000102
820.00 0.000072 0.000099
830.00 0.000068 0.000095
840.00 0.000064 0.000092
850.00 0.000061 0.000090
860.00 0.000057 0.000087
870.00 0.000054 0.000084
880.00 0.000052 0.000082
890.00 0.000049 0.000080
900.00 0.000047 0.000078
910.00 0.000044 0.000076
920.00 0.000042 0.000074
930.00 0.000040 0.000073
940.00 0.000038 0.000071
950.00 0.000037 0.000069
960.00 0.000035 0.000068
970.00 0.000033 0.000067
980.00 0.000032 0.000065
990.00 0.000030 0.000064
1000.00 0.000029 0.000063
1010.00 0.000028 0.000062
1020.00 0.000027 0.000061
1030.00 0.000026 0.000060
1040.00 0.000024 0.000059
1050.00 0.000023 0.000058
1060.00 0.000023 0.000057
1070.00 0.000022 0.000056
1080.00 0.000021 0.000055
1090.00 0.000020 0.000054
1100.00 0.000019 0.000053
1110.00 0.000018 0.000053
1120.00 0.000018 0.000052
1130.00 0.000017 0.000051
1140.00 0.000016 0.000051
1150.00 0.000016 0.000050
1160.00 0.000015 0.000049
1170.00 0.000015 0.000049
1180.00 0.000014 0.000048
1190.00 0.000014 0.000048
1200.00 0.000013 0.000047
