Mie Scattering and Absorption for 5Au_95Ag 80nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.004269 0.009746
280.00 0.003845 0.009644
290.00 0.003289 0.009350
300.00 0.002615 0.008807
310.00 0.001874 0.007926
320.00 0.000850 0.005961
330.00 0.000452 0.004683
340.00 0.001215 0.004986
350.00 0.003035 0.006173
360.00 0.006595 0.009230
370.00 0.013165 0.011008
380.00 0.024363 0.012524
390.00 0.037469 0.014604
400.00 0.040264 0.012826
410.00 0.031667 0.008606
420.00 0.022255 0.005321
430.00 0.015659 0.003374
440.00 0.011388 0.002254
450.00 0.008583 0.001586
460.00 0.006673 0.001167
470.00 0.005324 0.000890
480.00 0.004339 0.000701
490.00 0.003598 0.000566
500.00 0.003027 0.000467
510.00 0.002578 0.000392
520.00 0.002219 0.000335
530.00 0.001927 0.000290
540.00 0.001687 0.000253
550.00 0.001487 0.000224
560.00 0.001318 0.000200
570.00 0.001175 0.000180
580.00 0.001053 0.000163
590.00 0.000947 0.000149
600.00 0.000856 0.000137
610.00 0.000776 0.000126
620.00 0.000706 0.000117
630.00 0.000644 0.000109
640.00 0.000590 0.000101
650.00 0.000541 0.000095
660.00 0.000498 0.000090
670.00 0.000459 0.000085
680.00 0.000424 0.000080
690.00 0.000393 0.000076
700.00 0.000364 0.000072
710.00 0.000338 0.000069
720.00 0.000315 0.000066
730.00 0.000294 0.000063
740.00 0.000274 0.000060
750.00 0.000256 0.000058
760.00 0.000240 0.000056
770.00 0.000225 0.000054
780.00 0.000211 0.000052
790.00 0.000199 0.000050
800.00 0.000187 0.000049
810.00 0.000176 0.000047
820.00 0.000166 0.000046
830.00 0.000157 0.000044
840.00 0.000148 0.000043
850.00 0.000140 0.000042
860.00 0.000133 0.000041
870.00 0.000126 0.000040
880.00 0.000119 0.000039
890.00 0.000113 0.000038
900.00 0.000107 0.000037
910.00 0.000102 0.000036
920.00 0.000097 0.000036
930.00 0.000092 0.000035
940.00 0.000088 0.000034
950.00 0.000084 0.000033
960.00 0.000080 0.000033
970.00 0.000076 0.000032
980.00 0.000073 0.000032
990.00 0.000070 0.000031
1000.00 0.000067 0.000031
1010.00 0.000064 0.000030
1020.00 0.000061 0.000030
1030.00 0.000058 0.000029
1040.00 0.000056 0.000029
1050.00 0.000054 0.000028
1060.00 0.000051 0.000028
1070.00 0.000049 0.000027
1080.00 0.000047 0.000027
1090.00 0.000045 0.000027
1100.00 0.000044 0.000026
1110.00 0.000042 0.000026
1120.00 0.000040 0.000026
1130.00 0.000039 0.000025
1140.00 0.000037 0.000025
1150.00 0.000036 0.000025
1160.00 0.000035 0.000025
1170.00 0.000033 0.000024
1180.00 0.000032 0.000024
1190.00 0.000031 0.000024
1200.00 0.000030 0.000024
