Mie Scattering and Absorption for 30Au_70Ag 40nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.000162 0.001798
280.00 0.000140 0.001694
290.00 0.000120 0.001598
300.00 0.000103 0.001514
310.00 0.000089 0.001445
320.00 0.000076 0.001392
330.00 0.000066 0.001359
340.00 0.000058 0.001348
350.00 0.000052 0.001361
360.00 0.000047 0.001406
370.00 0.000046 0.001512
380.00 0.000052 0.001753
390.00 0.000074 0.002192
400.00 0.000118 0.002755
410.00 0.000167 0.003018
420.00 0.000181 0.002591
430.00 0.000158 0.001837
440.00 0.000125 0.001220
450.00 0.000097 0.000818
460.00 0.000077 0.000568
470.00 0.000062 0.000411
480.00 0.000051 0.000308
490.00 0.000042 0.000238
500.00 0.000036 0.000189
510.00 0.000031 0.000153
520.00 0.000027 0.000127
530.00 0.000023 0.000107
540.00 0.000021 0.000092
550.00 0.000018 0.000079
560.00 0.000016 0.000070
570.00 0.000015 0.000061
580.00 0.000013 0.000055
590.00 0.000012 0.000049
600.00 0.000011 0.000045
610.00 0.000010 0.000041
620.00 0.000009 0.000037
630.00 0.000008 0.000034
640.00 0.000008 0.000032
650.00 0.000007 0.000029
660.00 0.000007 0.000027
670.00 0.000006 0.000026
680.00 0.000006 0.000024
690.00 0.000005 0.000023
700.00 0.000005 0.000021
710.00 0.000005 0.000020
720.00 0.000004 0.000019
730.00 0.000004 0.000018
740.00 0.000004 0.000017
750.00 0.000004 0.000017
760.00 0.000003 0.000016
770.00 0.000003 0.000015
780.00 0.000003 0.000015
790.00 0.000003 0.000014
800.00 0.000003 0.000013
810.00 0.000002 0.000013
820.00 0.000002 0.000013
830.00 0.000002 0.000012
840.00 0.000002 0.000012
850.00 0.000002 0.000011
860.00 0.000002 0.000011
870.00 0.000002 0.000011
880.00 0.000002 0.000010
890.00 0.000002 0.000010
900.00 0.000002 0.000010
910.00 0.000001 0.000009
920.00 0.000001 0.000009
930.00 0.000001 0.000009
940.00 0.000001 0.000009
950.00 0.000001 0.000009
960.00 0.000001 0.000008
970.00 0.000001 0.000008
980.00 0.000001 0.000008
990.00 0.000001 0.000008
1000.00 0.000001 0.000008
1010.00 0.000001 0.000007
1020.00 0.000001 0.000007
1030.00 0.000001 0.000007
1040.00 0.000001 0.000007
1050.00 0.000001 0.000007
1060.00 0.000001 0.000007
1070.00 0.000001 0.000007
1080.00 0.000001 0.000006
1090.00 0.000001 0.000006
1100.00 0.000001 0.000006
1110.00 0.000001 0.000006
1120.00 0.000001 0.000006
1130.00 0.000001 0.000006
1140.00 0.000001 0.000006
1150.00 0.000001 0.000006
1160.00 0.000001 0.000006
1170.00 0.000000 0.000006
1180.00 0.000000 0.000005
1190.00 0.000000 0.000005
1200.00 0.000000 0.000005
