Mie Scattering and Absorption for 0Au_100Ag 80nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.004008 0.009605
280.00 0.003488 0.009358
290.00 0.002767 0.008750
300.00 0.001914 0.007648
310.00 0.000622 0.004566
320.00 0.000256 0.002831
330.00 0.001222 0.002936
340.00 0.003275 0.003559
350.00 0.007194 0.006238
360.00 0.014363 0.008201
370.00 0.026761 0.006885
380.00 0.044674 0.008456
390.00 0.053696 0.008219
400.00 0.044060 0.005711
410.00 0.030416 0.003446
420.00 0.020721 0.002103
430.00 0.014627 0.001356
440.00 0.010757 0.000926
450.00 0.008199 0.000665
460.00 0.006436 0.000497
470.00 0.005174 0.000385
480.00 0.004242 0.000306
490.00 0.003535 0.000249
500.00 0.002985 0.000207
510.00 0.002551 0.000175
520.00 0.002201 0.000150
530.00 0.001915 0.000130
540.00 0.001679 0.000114
550.00 0.001481 0.000101
560.00 0.001315 0.000091
570.00 0.001173 0.000082
580.00 0.001052 0.000074
590.00 0.000947 0.000068
600.00 0.000856 0.000062
610.00 0.000776 0.000057
620.00 0.000707 0.000053
630.00 0.000645 0.000050
640.00 0.000590 0.000046
650.00 0.000542 0.000044
660.00 0.000499 0.000041
670.00 0.000460 0.000039
680.00 0.000425 0.000037
690.00 0.000393 0.000035
700.00 0.000365 0.000033
710.00 0.000339 0.000032
720.00 0.000316 0.000030
730.00 0.000294 0.000029
740.00 0.000275 0.000028
750.00 0.000257 0.000027
760.00 0.000241 0.000026
770.00 0.000226 0.000025
780.00 0.000212 0.000024
790.00 0.000199 0.000023
800.00 0.000187 0.000022
810.00 0.000176 0.000022
820.00 0.000166 0.000021
830.00 0.000157 0.000020
840.00 0.000148 0.000020
850.00 0.000140 0.000019
860.00 0.000133 0.000019
870.00 0.000126 0.000018
880.00 0.000119 0.000018
890.00 0.000113 0.000017
900.00 0.000108 0.000017
910.00 0.000102 0.000017
920.00 0.000097 0.000016
930.00 0.000093 0.000016
940.00 0.000088 0.000016
950.00 0.000084 0.000015
960.00 0.000080 0.000015
970.00 0.000076 0.000015
980.00 0.000073 0.000015
990.00 0.000070 0.000014
1000.00 0.000067 0.000014
1010.00 0.000064 0.000014
1020.00 0.000061 0.000014
1030.00 0.000058 0.000013
1040.00 0.000056 0.000013
1050.00 0.000054 0.000013
1060.00 0.000052 0.000013
1070.00 0.000049 0.000013
1080.00 0.000047 0.000012
1090.00 0.000046 0.000012
1100.00 0.000044 0.000012
1110.00 0.000042 0.000012
1120.00 0.000040 0.000012
1130.00 0.000039 0.000012
1140.00 0.000037 0.000012
1150.00 0.000036 0.000011
1160.00 0.000035 0.000011
1170.00 0.000033 0.000011
1180.00 0.000032 0.000011
1190.00 0.000031 0.000011
1200.00 0.000030 0.000011
