Mie Scattering and Absorption for 80Au_20Ag 80nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.006346 0.009967
280.00 0.006138 0.010047
290.00 0.005858 0.010072
300.00 0.005522 0.010039
310.00 0.005146 0.009956
320.00 0.004748 0.009834
330.00 0.004349 0.009690
340.00 0.003965 0.009543
350.00 0.003613 0.009413
360.00 0.003304 0.009317
370.00 0.003045 0.009263
380.00 0.002838 0.009254
390.00 0.002675 0.009281
400.00 0.002547 0.009333
410.00 0.002445 0.009403
420.00 0.002361 0.009496
430.00 0.002299 0.009636
440.00 0.002272 0.009866
450.00 0.002313 0.010242
460.00 0.002468 0.010771
470.00 0.002771 0.011304
480.00 0.003174 0.011434
490.00 0.003498 0.010658
500.00 0.003537 0.008931
510.00 0.003276 0.006861
520.00 0.002870 0.005056
530.00 0.002457 0.003714
540.00 0.002094 0.002774
550.00 0.001794 0.002123
560.00 0.001549 0.001666
570.00 0.001348 0.001338
580.00 0.001184 0.001098
590.00 0.001047 0.000917
600.00 0.000932 0.000779
610.00 0.000835 0.000670
620.00 0.000751 0.000584
630.00 0.000680 0.000515
640.00 0.000617 0.000458
650.00 0.000563 0.000411
660.00 0.000515 0.000372
670.00 0.000472 0.000339
680.00 0.000434 0.000311
690.00 0.000401 0.000286
700.00 0.000371 0.000265
710.00 0.000343 0.000247
720.00 0.000319 0.000230
730.00 0.000297 0.000216
740.00 0.000276 0.000203
750.00 0.000258 0.000192
760.00 0.000241 0.000182
770.00 0.000226 0.000173
780.00 0.000212 0.000165
790.00 0.000199 0.000157
800.00 0.000187 0.000150
810.00 0.000176 0.000144
820.00 0.000166 0.000138
830.00 0.000157 0.000133
840.00 0.000148 0.000128
850.00 0.000140 0.000124
860.00 0.000132 0.000120
870.00 0.000125 0.000116
880.00 0.000119 0.000112
890.00 0.000113 0.000109
900.00 0.000107 0.000106
910.00 0.000102 0.000103
920.00 0.000097 0.000100
930.00 0.000092 0.000098
940.00 0.000088 0.000095
950.00 0.000083 0.000093
960.00 0.000080 0.000091
970.00 0.000076 0.000089
980.00 0.000073 0.000087
990.00 0.000069 0.000085
1000.00 0.000066 0.000084
1010.00 0.000063 0.000082
1020.00 0.000061 0.000081
1030.00 0.000058 0.000079
1040.00 0.000056 0.000078
1050.00 0.000053 0.000076
1060.00 0.000051 0.000075
1070.00 0.000049 0.000074
1080.00 0.000047 0.000073
1090.00 0.000045 0.000072
1100.00 0.000043 0.000071
1110.00 0.000042 0.000070
1120.00 0.000040 0.000069
1130.00 0.000039 0.000068
1140.00 0.000037 0.000067
1150.00 0.000036 0.000066
1160.00 0.000035 0.000065
1170.00 0.000033 0.000064
1180.00 0.000032 0.000064
1190.00 0.000031 0.000063
1200.00 0.000030 0.000062
