Mie Scattering and Absorption for 100Au_0Ag 70nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.004262 0.007840
280.00 0.003961 0.007694
290.00 0.003627 0.007488
300.00 0.003278 0.007239
310.00 0.002929 0.006967
320.00 0.002594 0.006693
330.00 0.002285 0.006441
340.00 0.002014 0.006234
350.00 0.001793 0.006087
360.00 0.001624 0.005993
370.00 0.001496 0.005916
380.00 0.001390 0.005825
390.00 0.001293 0.005707
400.00 0.001197 0.005566
410.00 0.001102 0.005412
420.00 0.001008 0.005263
430.00 0.000917 0.005134
440.00 0.000829 0.005047
450.00 0.000750 0.005035
460.00 0.000687 0.005145
470.00 0.000653 0.005444
480.00 0.000669 0.006001
490.00 0.000770 0.006846
500.00 0.000991 0.007806
510.00 0.001299 0.008167
520.00 0.001487 0.007041
530.00 0.001410 0.004977
540.00 0.001197 0.003210
550.00 0.000985 0.002070
560.00 0.000814 0.001384
570.00 0.000683 0.000967
580.00 0.000583 0.000704
590.00 0.000504 0.000531
600.00 0.000441 0.000413
610.00 0.000389 0.000330
620.00 0.000347 0.000269
630.00 0.000311 0.000223
640.00 0.000280 0.000188
650.00 0.000254 0.000161
660.00 0.000232 0.000140
670.00 0.000212 0.000123
680.00 0.000194 0.000108
690.00 0.000179 0.000097
700.00 0.000165 0.000087
710.00 0.000153 0.000079
720.00 0.000142 0.000072
730.00 0.000132 0.000066
740.00 0.000123 0.000061
750.00 0.000114 0.000056
760.00 0.000107 0.000052
770.00 0.000100 0.000049
780.00 0.000094 0.000046
790.00 0.000088 0.000043
800.00 0.000083 0.000041
810.00 0.000078 0.000038
820.00 0.000073 0.000037
830.00 0.000069 0.000035
840.00 0.000065 0.000033
850.00 0.000062 0.000032
860.00 0.000058 0.000030
870.00 0.000055 0.000029
880.00 0.000052 0.000028
890.00 0.000050 0.000027
900.00 0.000047 0.000026
910.00 0.000045 0.000025
920.00 0.000043 0.000024
930.00 0.000041 0.000023
940.00 0.000039 0.000023
950.00 0.000037 0.000022
960.00 0.000035 0.000021
970.00 0.000034 0.000021
980.00 0.000032 0.000020
990.00 0.000031 0.000020
1000.00 0.000029 0.000019
1010.00 0.000028 0.000019
1020.00 0.000027 0.000018
1030.00 0.000026 0.000018
1040.00 0.000025 0.000018
1050.00 0.000024 0.000017
1060.00 0.000023 0.000017
1070.00 0.000022 0.000017
1080.00 0.000021 0.000016
1090.00 0.000020 0.000016
1100.00 0.000019 0.000016
1110.00 0.000019 0.000015
1120.00 0.000018 0.000015
1130.00 0.000017 0.000015
1140.00 0.000017 0.000015
1150.00 0.000016 0.000015
1160.00 0.000015 0.000014
1170.00 0.000015 0.000014
1180.00 0.000014 0.000014
1190.00 0.000014 0.000014
1200.00 0.000013 0.000014
