Mie Scattering and Absorption for 95Au_5Ag 60nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.002027 0.005540
280.00 0.001818 0.005292
290.00 0.001614 0.005027
300.00 0.001421 0.004759
310.00 0.001244 0.004502
320.00 0.001085 0.004267
330.00 0.000946 0.004063
340.00 0.000827 0.003898
350.00 0.000730 0.003777
360.00 0.000653 0.003697
370.00 0.000594 0.003643
380.00 0.000547 0.003598
390.00 0.000508 0.003547
400.00 0.000472 0.003486
410.00 0.000437 0.003418
420.00 0.000404 0.003352
430.00 0.000372 0.003301
440.00 0.000343 0.003281
450.00 0.000318 0.003317
460.00 0.000302 0.003441
470.00 0.000302 0.003688
480.00 0.000327 0.004066
490.00 0.000386 0.004494
500.00 0.000470 0.004685
510.00 0.000532 0.004248
520.00 0.000525 0.003255
530.00 0.000464 0.002241
540.00 0.000391 0.001503
550.00 0.000328 0.001030
560.00 0.000277 0.000731
570.00 0.000237 0.000539
580.00 0.000205 0.000411
590.00 0.000180 0.000322
600.00 0.000159 0.000259
610.00 0.000141 0.000213
620.00 0.000127 0.000179
630.00 0.000115 0.000152
640.00 0.000104 0.000131
650.00 0.000095 0.000114
660.00 0.000086 0.000101
670.00 0.000079 0.000090
680.00 0.000073 0.000081
690.00 0.000067 0.000073
700.00 0.000062 0.000066
710.00 0.000058 0.000061
720.00 0.000054 0.000056
730.00 0.000050 0.000052
740.00 0.000047 0.000048
750.00 0.000044 0.000045
760.00 0.000041 0.000042
770.00 0.000038 0.000040
780.00 0.000036 0.000037
790.00 0.000034 0.000035
800.00 0.000032 0.000034
810.00 0.000030 0.000032
820.00 0.000028 0.000030
830.00 0.000027 0.000029
840.00 0.000025 0.000028
850.00 0.000024 0.000027
860.00 0.000023 0.000026
870.00 0.000021 0.000025
880.00 0.000020 0.000024
890.00 0.000019 0.000023
900.00 0.000018 0.000022
910.00 0.000017 0.000021
920.00 0.000017 0.000021
930.00 0.000016 0.000020
940.00 0.000015 0.000020
950.00 0.000014 0.000019
960.00 0.000014 0.000019
970.00 0.000013 0.000018
980.00 0.000012 0.000018
990.00 0.000012 0.000017
1000.00 0.000011 0.000017
1010.00 0.000011 0.000016
1020.00 0.000010 0.000016
1030.00 0.000010 0.000016
1040.00 0.000010 0.000015
1050.00 0.000009 0.000015
1060.00 0.000009 0.000015
1070.00 0.000008 0.000015
1080.00 0.000008 0.000014
1090.00 0.000008 0.000014
1100.00 0.000008 0.000014
1110.00 0.000007 0.000014
1120.00 0.000007 0.000013
1130.00 0.000007 0.000013
1140.00 0.000006 0.000013
1150.00 0.000006 0.000013
1160.00 0.000006 0.000012
1170.00 0.000006 0.000012
1180.00 0.000006 0.000012
1190.00 0.000005 0.000012
1200.00 0.000005 0.000012
