Mie Scattering and Absorption for 55Au_45Ag 70nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.003424 0.007931
280.00 0.003212 0.007879
290.00 0.002977 0.007779
300.00 0.002731 0.007644
310.00 0.002485 0.007488
320.00 0.002248 0.007328
330.00 0.002029 0.007181
340.00 0.001834 0.007062
350.00 0.001667 0.006987
360.00 0.001530 0.006967
370.00 0.001427 0.007010
380.00 0.001356 0.007122
390.00 0.001317 0.007306
400.00 0.001313 0.007575
410.00 0.001354 0.007957
420.00 0.001468 0.008490
430.00 0.001686 0.009121
440.00 0.001996 0.009565
450.00 0.002280 0.009327
460.00 0.002370 0.008173
470.00 0.002225 0.006513
480.00 0.001953 0.004928
490.00 0.001661 0.003680
500.00 0.001401 0.002774
510.00 0.001186 0.002131
520.00 0.001010 0.001672
530.00 0.000869 0.001340
540.00 0.000753 0.001095
550.00 0.000659 0.000910
560.00 0.000580 0.000768
570.00 0.000514 0.000658
580.00 0.000459 0.000570
590.00 0.000411 0.000500
600.00 0.000370 0.000442
610.00 0.000335 0.000395
620.00 0.000304 0.000355
630.00 0.000277 0.000322
640.00 0.000254 0.000293
650.00 0.000233 0.000269
660.00 0.000214 0.000248
670.00 0.000197 0.000230
680.00 0.000182 0.000214
690.00 0.000169 0.000200
700.00 0.000156 0.000187
710.00 0.000145 0.000176
720.00 0.000135 0.000166
730.00 0.000126 0.000158
740.00 0.000118 0.000150
750.00 0.000110 0.000142
760.00 0.000103 0.000136
770.00 0.000097 0.000130
780.00 0.000091 0.000124
790.00 0.000086 0.000119
800.00 0.000081 0.000115
810.00 0.000076 0.000110
820.00 0.000072 0.000106
830.00 0.000068 0.000103
840.00 0.000064 0.000099
850.00 0.000061 0.000096
860.00 0.000057 0.000093
870.00 0.000054 0.000090
880.00 0.000052 0.000088
890.00 0.000049 0.000085
900.00 0.000047 0.000083
910.00 0.000044 0.000081
920.00 0.000042 0.000079
930.00 0.000040 0.000077
940.00 0.000038 0.000075
950.00 0.000037 0.000074
960.00 0.000035 0.000072
970.00 0.000033 0.000071
980.00 0.000032 0.000069
990.00 0.000030 0.000068
1000.00 0.000029 0.000067
1010.00 0.000028 0.000065
1020.00 0.000027 0.000064
1030.00 0.000026 0.000063
1040.00 0.000024 0.000062
1050.00 0.000023 0.000061
1060.00 0.000023 0.000060
1070.00 0.000022 0.000059
1080.00 0.000021 0.000058
1090.00 0.000020 0.000057
1100.00 0.000019 0.000056
1110.00 0.000018 0.000056
1120.00 0.000018 0.000055
1130.00 0.000017 0.000054
1140.00 0.000016 0.000053
1150.00 0.000016 0.000053
1160.00 0.000015 0.000052
1170.00 0.000015 0.000051
1180.00 0.000014 0.000051
1190.00 0.000014 0.000050
1200.00 0.000013 0.000050
