Mie Scattering and Absorption for 95Au_5Ag 50nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.000754 0.003313
280.00 0.000657 0.003090
290.00 0.000569 0.002877
300.00 0.000492 0.002682
310.00 0.000424 0.002507
320.00 0.000366 0.002356
330.00 0.000316 0.002231
340.00 0.000275 0.002135
350.00 0.000242 0.002068
360.00 0.000216 0.002025
370.00 0.000196 0.001998
380.00 0.000181 0.001975
390.00 0.000167 0.001948
400.00 0.000155 0.001914
410.00 0.000143 0.001877
420.00 0.000132 0.001842
430.00 0.000122 0.001816
440.00 0.000112 0.001809
450.00 0.000104 0.001834
460.00 0.000099 0.001911
470.00 0.000100 0.002058
480.00 0.000108 0.002276
490.00 0.000127 0.002510
500.00 0.000152 0.002589
510.00 0.000169 0.002307
520.00 0.000165 0.001740
530.00 0.000144 0.001190
540.00 0.000122 0.000798
550.00 0.000102 0.000548
560.00 0.000087 0.000390
570.00 0.000075 0.000289
580.00 0.000065 0.000220
590.00 0.000057 0.000173
600.00 0.000051 0.000140
610.00 0.000045 0.000115
620.00 0.000041 0.000096
630.00 0.000037 0.000082
640.00 0.000033 0.000071
650.00 0.000030 0.000062
660.00 0.000028 0.000055
670.00 0.000026 0.000049
680.00 0.000024 0.000044
690.00 0.000022 0.000039
700.00 0.000020 0.000036
710.00 0.000019 0.000033
720.00 0.000017 0.000030
730.00 0.000016 0.000028
740.00 0.000015 0.000026
750.00 0.000014 0.000024
760.00 0.000013 0.000023
770.00 0.000012 0.000021
780.00 0.000012 0.000020
790.00 0.000011 0.000019
800.00 0.000010 0.000018
810.00 0.000010 0.000017
820.00 0.000009 0.000016
830.00 0.000009 0.000016
840.00 0.000008 0.000015
850.00 0.000008 0.000014
860.00 0.000007 0.000014
870.00 0.000007 0.000013
880.00 0.000007 0.000013
890.00 0.000006 0.000012
900.00 0.000006 0.000012
910.00 0.000006 0.000011
920.00 0.000005 0.000011
930.00 0.000005 0.000011
940.00 0.000005 0.000010
950.00 0.000005 0.000010
960.00 0.000005 0.000010
970.00 0.000004 0.000010
980.00 0.000004 0.000009
990.00 0.000004 0.000009
1000.00 0.000004 0.000009
1010.00 0.000004 0.000009
1020.00 0.000003 0.000008
1030.00 0.000003 0.000008
1040.00 0.000003 0.000008
1050.00 0.000003 0.000008
1060.00 0.000003 0.000008
1070.00 0.000003 0.000008
1080.00 0.000003 0.000007
1090.00 0.000003 0.000007
1100.00 0.000002 0.000007
1110.00 0.000002 0.000007
1120.00 0.000002 0.000007
1130.00 0.000002 0.000007
1140.00 0.000002 0.000007
1150.00 0.000002 0.000007
1160.00 0.000002 0.000006
1170.00 0.000002 0.000006
1180.00 0.000002 0.000006
1190.00 0.000002 0.000006
1200.00 0.000002 0.000006
