Mie Scattering and Absorption for 35Au_65Ag 70nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.003142 0.007909
280.00 0.002929 0.007863
290.00 0.002693 0.007769
300.00 0.002446 0.007640
310.00 0.002199 0.007494
320.00 0.001964 0.007351
330.00 0.001750 0.007233
340.00 0.001565 0.007165
350.00 0.001414 0.007166
360.00 0.001298 0.007255
370.00 0.001223 0.007464
380.00 0.001217 0.007894
390.00 0.001371 0.008754
400.00 0.001815 0.010180
410.00 0.002627 0.011937
420.00 0.003626 0.013070
430.00 0.004263 0.012392
440.00 0.004176 0.010051
450.00 0.003612 0.007390
460.00 0.002957 0.005264
470.00 0.002390 0.003776
480.00 0.001942 0.002774
490.00 0.001598 0.002094
500.00 0.001333 0.001624
510.00 0.001127 0.001291
520.00 0.000963 0.001048
530.00 0.000832 0.000868
540.00 0.000725 0.000730
550.00 0.000637 0.000624
560.00 0.000564 0.000540
570.00 0.000502 0.000472
580.00 0.000449 0.000417
590.00 0.000404 0.000372
600.00 0.000365 0.000335
610.00 0.000331 0.000303
620.00 0.000301 0.000276
630.00 0.000275 0.000253
640.00 0.000251 0.000233
650.00 0.000231 0.000216
660.00 0.000212 0.000201
670.00 0.000196 0.000188
680.00 0.000181 0.000176
690.00 0.000168 0.000166
700.00 0.000156 0.000156
710.00 0.000145 0.000148
720.00 0.000135 0.000140
730.00 0.000126 0.000133
740.00 0.000118 0.000127
750.00 0.000110 0.000121
760.00 0.000103 0.000116
770.00 0.000097 0.000112
780.00 0.000091 0.000107
790.00 0.000086 0.000103
800.00 0.000081 0.000099
810.00 0.000076 0.000096
820.00 0.000072 0.000093
830.00 0.000068 0.000090
840.00 0.000064 0.000087
850.00 0.000061 0.000084
860.00 0.000058 0.000082
870.00 0.000055 0.000080
880.00 0.000052 0.000078
890.00 0.000049 0.000076
900.00 0.000047 0.000074
910.00 0.000044 0.000072
920.00 0.000042 0.000070
930.00 0.000040 0.000069
940.00 0.000038 0.000067
950.00 0.000037 0.000066
960.00 0.000035 0.000064
970.00 0.000033 0.000063
980.00 0.000032 0.000062
990.00 0.000030 0.000061
1000.00 0.000029 0.000060
1010.00 0.000028 0.000058
1020.00 0.000027 0.000057
1030.00 0.000026 0.000056
1040.00 0.000025 0.000056
1050.00 0.000023 0.000055
1060.00 0.000023 0.000054
1070.00 0.000022 0.000053
1080.00 0.000021 0.000052
1090.00 0.000020 0.000051
1100.00 0.000019 0.000051
1110.00 0.000018 0.000050
1120.00 0.000018 0.000049
1130.00 0.000017 0.000049
1140.00 0.000016 0.000048
1150.00 0.000016 0.000048
1160.00 0.000015 0.000047
1170.00 0.000015 0.000046
1180.00 0.000014 0.000046
1190.00 0.000014 0.000045
1200.00 0.000013 0.000045
