>TARGSPHER  spherical target with explicit spacing
3887 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-20.5 -20.5 -20.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
   201  14  20  20 1 1 1
   202  14  20  21 1 1 1
   203  14  20  22 1 1 1
   204  14  20  23 1 1 1
   205  14  20  24 1 1 1
   206  14  20  25 1 1 1
   207  14  20  26 1 1 1
   208  14  20  27 2 2 2
   209  14  21  15 2 2 2
   210  14  21  16 1 1 1
   211  14  21  17 1 1 1
   212  14  21  18 1 1 1
   213  14  21  19 1 1 1
   214  14  21  20 1 1 1
   215  14  21  21 1 1 1
   216  14  21  22 1 1 1
   217  14  21  23 1 1 1
   218  14  21  24 1 1 1
   219  14  21  25 1 1 1
   220  14  21  26 1 1 1
   221  14  21  27 2 2 2
   222  14  22  15 2 2 2
   223  14  22  16 1 1 1
   224  14  22  17 1 1 1
   225  14  22  18 1 1 1
   226  14  22  19 1 1 1
   227  14  22  20 1 1 1
   228  14  22  21 1 1 1
   229  14  22  22 1 1 1
   230  14  22  23 1 1 1
   231  14  22  24 1 1 1
   232  14  22  25 1 1 1
   233  14  22  26 1 1 1
   234  14  22  27 2 2 2
   235  14  23  15 2 2 2
   236  14  23  16 2 2 2
   237  14  23  17 1 1 1
   238  14  23  18 1 1 1
   239  14  23  19 1 1 1
   240  14  23  20 1 1 1
   241  14  23  21 1 1 1
   242  14  23  22 1 1 1
   243  14  23  23 1 1 1
   244  14  23  24 1 1 1
   245  14  23  25 1 1 1
   246  14  23  26 2 2 2
   247  14  23  27 2 2 2
   248  14  24  15 2 2 2
   249  14  24  16 2 2 2
   250  14  24  17 1 1 1
   251  14  24  18 1 1 1
   252  14  24  19 1 1 1
   253  14  24  20 1 1 1
   254  14  24  21 1 1 1
   255  14  24  22 1 1 1
   256  14  24  23 1 1 1
   257  14  24  24 1 1 1
   258  14  24  25 1 1 1
   259  14  24  26 2 2 2
   260  14  24  27 2 2 2
   261  14  25  16 2 2 2
   262  14  25  17 2 2 2
   263  14  25  18 1 1 1
   264  14  25  19 1 1 1
   265  14  25  20 1 1 1
   266  14  25  21 1 1 1
   267  14  25  22 1 1 1
   268  14  25  23 1 1 1
   269  14  25  24 1 1 1
   270  14  25  25 2 2 2
   271  14  25  26 2 2 2
   272  14  26  17 2 2 2
   273  14  26  18 2 2 2
   274  14  26  19 2 2 2
   275  14  26  20 1 1 1
   276  14  26  21 1 1 1
   277  14  26  22 1 1 1
   278  14  26  23 2 2 2
   279  14  26  24 2 2 2
   280  14  26  25 2 2 2
   281  14  27  18 2 2 2
   282  14  27  19 2 2 2
   283  14  27  20 2 2 2
   284  14  27  21 2 2 2
   285  14  27  22 2 2 2
   286  14  27  23 2 2 2
   287  14  27  24 2 2 2
   288  15  14  18 2 2 2
   289  15  14  19 2 2 2
   290  15  14  20 2 2 2
   291  15  14  21 2 2 2
   292  15  14  22 2 2 2
   293  15  14  23 2 2 2
   294  15  14  24 2 2 2
   295  15  15  17 2 2 2
   296  15  15  18 2 2 2
   297  15  15  19 1 1 1
   298  15  15  20 1 1 1
   299  15  15  21 1 1 1
   300  15  15  22 1 1 1
   301  15  15  23 1 1 1
   302  15  15  24 2 2 2
   303  15  15  25 2 2 2
   304  15  16  16 2 2 2
   305  15  16  17 2 2 2
   306  15  16  18 1 1 1
   307  15  16  19 1 1 1
   308  15  16  20 1 1 1
   309  15  16  21 1 1 1
   310  15  16  22 1 1 1
   311  15  16  23 1 1 1
   312  15  16  24 1 1 1
   313  15  16  25 2 2 2
   314  15  16  26 2 2 2
   315  15  17  15 2 2 2
   316  15  17  16 2 2 2
   317  15  17  17 1 1 1
   318  15  17  18 1 1 1
   319  15  17  19 1 1 1
   320  15  17  20 1 1 1
   321  15  17  21 1 1 1
   322  15  17  22 1 1 1
   323  15  17  23 1 1 1
   324  15  17  24 1 1 1
   325  15  17  25 1 1 1
   326  15  17  26 2 2 2
   327  15  17  27 2 2 2
   328  15  18  14 2 2 2
   329  15  18  15 2 2 2
   330  15  18  16 1 1 1
   331  15  18  17 1 1 1
   332  15  18  18 1 1 1
   333  15  18  19 1 1 1
   334  15  18  20 1 1 1
   335  15  18  21 1 1 1
   336  15  18  22 1 1 1
   337  15  18  23 1 1 1
   338  15  18  24 1 1 1
   339  15  18  25 1 1 1
   340  15  18  26 1 1 1
   341  15  18  27 2 2 2
   342  15  18  28 2 2 2
   343  15  19  14 2 2 2
   344  15  19  15 1 1 1
   345  15  19  16 1 1 1
   346  15  19  17 1 1 1
   347  15  19  18 1 1 1
   348  15  19  19 1 1 1
   349  15  19  20 1 1 1
   350  15  19  21 1 1 1
   351  15  19  22 1 1 1
   352  15  19  23 1 1 1
   353  15  19  24 1 1 1
   354  15  19  25 1 1 1
   355  15  19  26 1 1 1
   356  15  19  27 1 1 1
   357  15  19  28 2 2 2
   358  15  20  14 2 2 2
   359  15  20  15 1 1 1
   360  15  20  16 1 1 1
   361  15  20  17 1 1 1
   362  15  20  18 1 1 1
   363  15  20  19 1 1 1
   364  15  20  20 1 1 1
   365  15  20  21 1 1 1
   366  15  20  22 1 1 1
   367  15  20  23 1 1 1
   368  15  20  24 1 1 1
   369  15  20  25 1 1 1
   370  15  20  26 1 1 1
   371  15  20  27 1 1 1
   372  15  20  28 2 2 2
   373  15  21  14 2 2 2
   374  15  21  15 1 1 1
   375  15  21  16 1 1 1
   376  15  21  17 1 1 1
   377  15  21  18 1 1 1
   378  15  21  19 1 1 1
   379  15  21  20 1 1 1
   380  15  21  21 1 1 1
   381  15  21  22 1 1 1
   382  15  21  23 1 1 1
   383  15  21  24 1 1 1
   384  15  21  25 1 1 1
   385  15  21  26 1 1 1
   386  15  21  27 1 1 1
   387  15  21  28 2 2 2
   388  15  22  14 2 2 2
   389  15  22  15 1 1 1
   390  15  22  16 1 1 1
   391  15  22  17 1 1 1
   392  15  22  18 1 1 1
   393  15  22  19 1 1 1
   394  15  22  20 1 1 1
   395  15  22  21 1 1 1
   396  15  22  22 1 1 1
   397  15  22  23 1 1 1
   398  15  22  24 1 1 1
   399  15  22  25 1 1 1
   400  15  22  26 1 1 1
   401  15  22  27 1 1 1
   402  15  22  28 2 2 2
   403  15  23  14 2 2 2
   404  15  23  15 1 1 1
   405  15  23  16 1 1 1
   406  15  23  17 1 1 1
   407  15  23  18 1 1 1
   408  15  23  19 1 1 1
   409  15  23  20 1 1 1
   410  15  23  21 1 1 1
   411  15  23  22 1 1 1
   412  15  23  23 1 1 1
   413  15  23  24 1 1 1
   414  15  23  25 1 1 1
   415  15  23  26 1 1 1
   416  15  23  27 1 1 1
   417  15  23  28 2 2 2
   418  15  24  14 2 2 2
   419  15  24  15 2 2 2
   420  15  24  16 1 1 1
   421  15  24  17 1 1 1
   422  15  24  18 1 1 1
   423  15  24  19 1 1 1
   424  15  24  20 1 1 1
   425  15  24  21 1 1 1
   426  15  24  22 1 1 1
   427  15  24  23 1 1 1
   428  15  24  24 1 1 1
   429  15  24  25 1 1 1
   430  15  24  26 1 1 1
   431  15  24  27 2 2 2
   432  15  24  28 2 2 2
   433  15  25  15 2 2 2
   434  15  25  16 2 2 2
   435  15  25  17 1 1 1
   436  15  25  18 1 1 1
   437  15  25  19 1 1 1
   438  15  25  20 1 1 1
   439  15  25  21 1 1 1
   440  15  25  22 1 1 1
   441  15  25  23 1 1 1
   442  15  25  24 1 1 1
   443  15  25  25 1 1 1
   444  15  25  26 2 2 2
   445  15  25  27 2 2 2
   446  15  26  16 2 2 2
   447  15  26  17 2 2 2
   448  15  26  18 1 1 1
   449  15  26  19 1 1 1
   450  15  26  20 1 1 1
   451  15  26  21 1 1 1
   452  15  26  22 1 1 1
   453  15  26  23 1 1 1
   454  15  26  24 1 1 1
   455  15  26  25 2 2 2
   456  15  26  26 2 2 2
   457  15  27  17 2 2 2
   458  15  27  18 2 2 2
   459  15  27  19 1 1 1
   460  15  27  20 1 1 1
   461  15  27  21 1 1 1
   462  15  27  22 1 1 1
   463  15  27  23 1 1 1
   464  15  27  24 2 2 2
   465  15  27  25 2 2 2
   466  15  28  18 2 2 2
   467  15  28  19 2 2 2
   468  15  28  20 2 2 2
   469  15  28  21 2 2 2
   470  15  28  22 2 2 2
   471  15  28  23 2 2 2
   472  15  28  24 2 2 2
   473  16  13  19 2 2 2
   474  16  13  20 2 2 2
   475  16  13  21 2 2 2
   476  16  13  22 2 2 2
   477  16  13  23 2 2 2
   478  16  14  17 2 2 2
   479  16  14  18 2 2 2
   480  16  14  19 2 2 2
   481  16  14  20 1 1 1
   482  16  14  21 1 1 1
   483  16  14  22 1 1 1
   484  16  14  23 2 2 2
   485  16  14  24 2 2 2
   486  16  14  25 2 2 2
   487  16  15  16 2 2 2
   488  16  15  17 2 2 2
   489  16  15  18 1 1 1
   490  16  15  19 1 1 1
