>TARGSPHER  spherical target with explicit spacing
33401 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-40.5 -40.5 -40.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
   201  23  39  33 2 2 2
   202  23  39  34 2 2 2
   203  23  39  35 2 2 2
   204  23  39  36 2 2 2
   205  23  39  37 2 2 2
   206  23  39  38 2 2 2
   207  23  39  39 2 2 2
   208  23  39  40 2 2 2
   209  23  39  41 2 2 2
   210  23  39  42 2 2 2
   211  23  39  43 2 2 2
   212  23  39  44 2 2 2
   213  23  39  45 2 2 2
   214  23  39  46 2 2 2
   215  23  39  47 2 2 2
   216  23  39  48 2 2 2
   217  23  39  49 2 2 2
   218  23  40  33 2 2 2
   219  23  40  34 2 2 2
   220  23  40  35 2 2 2
   221  23  40  36 2 2 2
   222  23  40  37 2 2 2
   223  23  40  38 2 2 2
   224  23  40  39 2 2 2
   225  23  40  40 2 2 2
   226  23  40  41 2 2 2
   227  23  40  42 2 2 2
   228  23  40  43 2 2 2
   229  23  40  44 2 2 2
   230  23  40  45 2 2 2
   231  23  40  46 2 2 2
   232  23  40  47 2 2 2
   233  23  40  48 2 2 2
   234  23  40  49 2 2 2
   235  23  41  33 2 2 2
   236  23  41  34 2 2 2
   237  23  41  35 2 2 2
   238  23  41  36 2 2 2
   239  23  41  37 2 2 2
   240  23  41  38 2 2 2
   241  23  41  39 2 2 2
   242  23  41  40 2 2 2
   243  23  41  41 2 2 2
   244  23  41  42 2 2 2
   245  23  41  43 2 2 2
   246  23  41  44 2 2 2
   247  23  41  45 2 2 2
   248  23  41  46 2 2 2
   249  23  41  47 2 2 2
   250  23  41  48 2 2 2
   251  23  41  49 2 2 2
   252  23  42  33 2 2 2
   253  23  42  34 2 2 2
   254  23  42  35 2 2 2
   255  23  42  36 2 2 2
   256  23  42  37 2 2 2
   257  23  42  38 2 2 2
   258  23  42  39 2 2 2
   259  23  42  40 2 2 2
   260  23  42  41 2 2 2
   261  23  42  42 2 2 2
   262  23  42  43 2 2 2
   263  23  42  44 2 2 2
   264  23  42  45 2 2 2
   265  23  42  46 2 2 2
   266  23  42  47 2 2 2
   267  23  42  48 2 2 2
   268  23  42  49 2 2 2
   269  23  43  33 2 2 2
   270  23  43  34 2 2 2
   271  23  43  35 2 2 2
   272  23  43  36 2 2 2
   273  23  43  37 2 2 2
   274  23  43  38 2 2 2
   275  23  43  39 2 2 2
   276  23  43  40 2 2 2
   277  23  43  41 2 2 2
   278  23  43  42 2 2 2
   279  23  43  43 2 2 2
   280  23  43  44 2 2 2
   281  23  43  45 2 2 2
   282  23  43  46 2 2 2
   283  23  43  47 2 2 2
   284  23  43  48 2 2 2
   285  23  43  49 2 2 2
   286  23  44  33 2 2 2
   287  23  44  34 2 2 2
   288  23  44  35 2 2 2
   289  23  44  36 2 2 2
   290  23  44  37 2 2 2
   291  23  44  38 2 2 2
   292  23  44  39 2 2 2
   293  23  44  40 2 2 2
   294  23  44  41 2 2 2
   295  23  44  42 2 2 2
   296  23  44  43 2 2 2
   297  23  44  44 2 2 2
   298  23  44  45 2 2 2
   299  23  44  46 2 2 2
   300  23  44  47 2 2 2
   301  23  44  48 2 2 2
   302  23  44  49 2 2 2
   303  23  45  34 2 2 2
   304  23  45  35 2 2 2
   305  23  45  36 2 2 2
   306  23  45  37 2 2 2
   307  23  45  38 2 2 2
   308  23  45  39 2 2 2
   309  23  45  40 2 2 2
   310  23  45  41 2 2 2
   311  23  45  42 2 2 2
   312  23  45  43 2 2 2
   313  23  45  44 2 2 2
   314  23  45  45 2 2 2
   315  23  45  46 2 2 2
   316  23  45  47 2 2 2
   317  23  45  48 2 2 2
   318  23  46  34 2 2 2
   319  23  46  35 2 2 2
   320  23  46  36 2 2 2
   321  23  46  37 2 2 2
   322  23  46  38 2 2 2
   323  23  46  39 2 2 2
   324  23  46  40 2 2 2
   325  23  46  41 2 2 2
   326  23  46  42 2 2 2
   327  23  46  43 2 2 2
   328  23  46  44 2 2 2
   329  23  46  45 2 2 2
   330  23  46  46 2 2 2
   331  23  46  47 2 2 2
   332  23  46  48 2 2 2
   333  23  47  35 2 2 2
   334  23  47  36 2 2 2
   335  23  47  37 2 2 2
   336  23  47  38 2 2 2
   337  23  47  39 2 2 2
   338  23  47  40 2 2 2
   339  23  47  41 2 2 2
   340  23  47  42 2 2 2
   341  23  47  43 2 2 2
   342  23  47  44 2 2 2
   343  23  47  45 2 2 2
   344  23  47  46 2 2 2
   345  23  47  47 2 2 2
   346  23  48  36 2 2 2
   347  23  48  37 2 2 2
   348  23  48  38 2 2 2
   349  23  48  39 2 2 2
   350  23  48  40 2 2 2
   351  23  48  41 2 2 2
   352  23  48  42 2 2 2
   353  23  48  43 2 2 2
   354  23  48  44 2 2 2
   355  23  48  45 2 2 2
   356  23  48  46 2 2 2
   357  23  49  38 2 2 2
   358  23  49  39 2 2 2
   359  23  49  40 2 2 2
   360  23  49  41 2 2 2
   361  23  49  42 2 2 2
   362  23  49  43 2 2 2
   363  23  49  44 2 2 2
   364  24  31  38 2 2 2
   365  24  31  39 2 2 2
   366  24  31  40 2 2 2
   367  24  31  41 2 2 2
   368  24  31  42 2 2 2
   369  24  31  43 2 2 2
   370  24  31  44 2 2 2
   371  24  32  36 2 2 2
   372  24  32  37 2 2 2
   373  24  32  38 2 2 2
   374  24  32  39 2 2 2
   375  24  32  40 2 2 2
   376  24  32  41 2 2 2
   377  24  32  42 2 2 2
   378  24  32  43 2 2 2
   379  24  32  44 2 2 2
   380  24  32  45 2 2 2
   381  24  32  46 2 2 2
   382  24  33  35 2 2 2
   383  24  33  36 2 2 2
   384  24  33  37 2 2 2
   385  24  33  38 2 2 2
   386  24  33  39 2 2 2
   387  24  33  40 2 2 2
   388  24  33  41 2 2 2
   389  24  33  42 2 2 2
   390  24  33  43 2 2 2
   391  24  33  44 2 2 2
   392  24  33  45 2 2 2
   393  24  33  46 2 2 2
   394  24  33  47 2 2 2
   395  24  34  34 2 2 2
   396  24  34  35 2 2 2
   397  24  34  36 2 2 2
   398  24  34  37 2 2 2
   399  24  34  38 2 2 2
   400  24  34  39 2 2 2
   401  24  34  40 2 2 2
   402  24  34  41 2 2 2
   403  24  34  42 2 2 2
   404  24  34  43 2 2 2
   405  24  34  44 2 2 2
   406  24  34  45 2 2 2
   407  24  34  46 2 2 2
   408  24  34  47 2 2 2
   409  24  34  48 2 2 2
   410  24  35  33 2 2 2
   411  24  35  34 2 2 2
   412  24  35  35 2 2 2
   413  24  35  36 2 2 2
   414  24  35  37 2 2 2
   415  24  35  38 2 2 2
   416  24  35  39 2 2 2
   417  24  35  40 2 2 2
   418  24  35  41 2 2 2
   419  24  35  42 2 2 2
   420  24  35  43 2 2 2
   421  24  35  44 2 2 2
   422  24  35  45 2 2 2
   423  24  35  46 2 2 2
   424  24  35  47 2 2 2
   425  24  35  48 2 2 2
   426  24  35  49 2 2 2
   427  24  36  32 2 2 2
   428  24  36  33 2 2 2
   429  24  36  34 2 2 2
   430  24  36  35 2 2 2
   431  24  36  36 2 2 2
   432  24  36  37 2 2 2
   433  24  36  38 2 2 2
   434  24  36  39 2 2 2
   435  24  36  40 2 2 2
   436  24  36  41 2 2 2
   437  24  36  42 2 2 2
   438  24  36  43 2 2 2
   439  24  36  44 2 2 2
   440  24  36  45 2 2 2
   441  24  36  46 2 2 2
   442  24  36  47 2 2 2
   443  24  36  48 2 2 2
   444  24  36  49 2 2 2
   445  24  36  50 2 2 2
   446  24  37  32 2 2 2
   447  24  37  33 2 2 2
   448  24  37  34 2 2 2
   449  24  37  35 2 2 2
   450  24  37  36 2 2 2
   451  24  37  37 2 2 2
   452  24  37  38 2 2 2
   453  24  37  39 2 2 2
   454  24  37  40 2 2 2
   455  24  37  41 2 2 2
   456  24  37  42 2 2 2
   457  24  37  43 2 2 2
   458  24  37  44 2 2 2
   459  24  37  45 2 2 2
   460  24  37  46 2 2 2
   461  24  37  47 2 2 2
   462  24  37  48 2 2 2
   463  24  37  49 2 2 2
   464  24  37  50 2 2 2
   465  24  38  31 2 2 2
   466  24  38  32 2 2 2
   467  24  38  33 2 2 2
   468  24  38  34 2 2 2
   469  24  38  35 2 2 2
   470  24  38  36 2 2 2
   471  24  38  37 2 2 2
   472  24  38  38 2 2 2
   473  24  38  39 2 2 2
   474  24  38  40 2 2 2
   475  24  38  41 2 2 2
   476  24  38  42 2 2 2
   477  24  38  43 2 2 2
   478  24  38  44 2 2 2
   479  24  38  45 2 2 2
   480  24  38  46 2 2 2
   481  24  38  47 2 2 2
   482  24  38  48 2 2 2
   483  24  38  49 2 2 2
   484  24  38  50 2 2 2
   485  24  38  51 2 2 2
   486  24  39  31 2 2 2
   487  24  39  32 2 2 2
   488  24  39  33 2 2 2
   489  24  39  34 2 2 2
   490  24  39  35 2 2 2
   491  24  39  36 2 2 2
   492  24  39  37 2 2 2
   493  24  39  38 2 2 2
   494  24  39  39 2 2 2
   495  24  39  40 2 2 2
   496  24  39  41 2 2 2
   497  24  39  42 2 2 2
   498  24  39  43 2 2 2
   499  24  39  44 2 2 2
   500  24  39  45 2 2 2
   501  24  39  46 2 2 2
   502  24  39  47 2 2 2
   503  24  39  48 2 2 2
   504  24  39  49 2 2 2
   505  24  39  50 2 2 2
   506  24  39  51 2 2 2
   507  24  40  31 2 2 2
   508  24  40  32 2 2 2
   509  24  40  33 2 2 2
   510  24  40  34 2 2 2
   511  24  40  35 2 2 2
   512  24  40  36 2 2 2
   513  24  40  37 2 2 2
   514  24  40  38 2 2 2
   515  24  40  39 2 2 2
   516  24  40  40 2 2 2
   517  24  40  41 2 2 2
   518  24  40  42 2 2 2
   519  24  40  43 2 2 2
   520  24  40  44 2 2 2
   521  24  40  45 2 2 2
   522  24  40  46 2 2 2
   523  24  40  47 2 2 2
   524  24  40  48 2 2 2
   525  24  40  49 2 2 2
   526  24  40  50 2 2 2
   527  24  40  51 2 2 2
   528  24  41  31 2 2 2
   529  24  41  32 2 2 2
   530  24  41  33 2 2 2
   531  24  41  34 2 2 2
   532  24  41  35 2 2 2
   533  24  41  36 2 2 2
   534  24  41  37 2 2 2
   535  24  41  38 2 2 2
   536  24  41  39 2 2 2
   537  24  41  40 2 2 2
   538  24  41  41 2 2 2
   539  24  41  42 2 2 2
   540  24  41  43 2 2 2
   541  24  41  44 2 2 2
   542  24  41  45 2 2 2
   543  24  41  46 2 2 2
   544  24  41  47 2 2 2
   545  24  41  48 2 2 2
   546  24  41  49 2 2 2
   547  24  41  50 2 2 2
   548  24  41  51 2 2 2
   549  24  42  31 2 2 2
   550  24  42  32 2 2 2
   551  24  42  33 2 2 2
   552  24  42  34 2 2 2
   553  24  42  35 2 2 2
   554  24  42  36 2 2 2
   555  24  42  37 2 2 2
   556  24  42  38 2 2 2
   557  24  42  39 2 2 2
   558  24  42  40 2 2 2
   559  24  42  41 2 2 2
   560  24  42  42 2 2 2
   561  24  42  43 2 2 2
   562  24  42  44 2 2 2
   563  24  42  45 2 2 2
   564  24  42  46 2 2 2
   565  24  42  47 2 2 2
   566  24  42  48 2 2 2
   567  24  42  49 2 2 2
   568  24  42  50 2 2 2
   569  24  42  51 2 2 2
   570  24  43  31 2 2 2
   571  24  43  32 2 2 2
   572  24  43  33 2 2 2
   573  24  43  34 2 2 2
   574  24  43  35 2 2 2
   575  24  43  36 2 2 2
   576  24  43  37 2 2 2
   577  24  43  38 2 2 2
   578  24  43  39 2 2 2
   579  24  43  40 2 2 2
   580  24  43  41 2 2 2
   581  24  43  42 2 2 2
   582  24  43  43 2 2 2
   583  24  43  44 2 2 2
   584  24  43  45 2 2 2
   585  24  43  46 2 2 2
   586  24  43  47 2 2 2
   587  24  43  48 2 2 2
   588  24  43  49 2 2 2
   589  24  43  50 2 2 2
   590  24  43  51 2 2 2
   591  24  44  31 2 2 2
   592  24  44  32 2 2 2
   593  24  44  33 2 2 2
   594  24  44  34 2 2 2
   595  24  44  35 2 2 2
   596  24  44  36 2 2 2
   597  24  44  37 2 2 2
   598  24  44  38 2 2 2
   599  24  44  39 2 2 2
   600  24  44  40 2 2 2
   601  24  44  41 2 2 2
   602  24  44  42 2 2 2
   603  24  44  43 2 2 2
   604  24  44  44 2 2 2
   605  24  44  45 2 2 2
   606  24  44  46 2 2 2
   607  24  44  47 2 2 2
   608  24  44  48 2 2 2
   609  24  44  49 2 2 2
   610  24  44  50 2 2 2
   611  24  44  51 2 2 2
   612  24  45  32 2 2 2
   613  24  45  33 2 2 2
   614  24  45  34 2 2 2
   615  24  45  35 2 2 2
   616  24  45  36 2 2 2
   617  24  45  37 2 2 2
   618  24  45  38 2 2 2
   619  24  45  39 2 2 2
   620  24  45  40 2 2 2
   621  24  45  41 2 2 2
   622  24  45  42 2 2 2
   623  24  45  43 2 2 2
   624  24  45  44 2 2 2
   625  24  45  45 2 2 2
   626  24  45  46 2 2 2
   627  24  45  47 2 2 2
   628  24  45  48 2 2 2
   629  24  45  49 2 2 2
   630  24  45  50 2 2 2
   631  24  46  32 2 2 2
   632  24  46  33 2 2 2
   633  24  46  34 2 2 2
   634  24  46  35 2 2 2
   635  24  46  36 2 2 2
   636  24  46  37 2 2 2
   637  24  46  38 2 2 2
   638  24  46  39 2 2 2
   639  24  46  40 2 2 2
   640  24  46  41 2 2 2
   641  24  46  42 2 2 2
   642  24  46  43 2 2 2
   643  24  46  44 2 2 2
   644  24  46  45 2 2 2
   645  24  46  46 2 2 2
   646  24  46  47 2 2 2
   647  24  46  48 2 2 2
   648  24  46  49 2 2 2
   649  24  46  50 2 2 2
   650  24  47  33 2 2 2
   651  24  47  34 2 2 2
   652  24  47  35 2 2 2
   653  24  47  36 2 2 2
   654  24  47  37 2 2 2
   655  24  47  38 2 2 2
   656  24  47  39 2 2 2
   657  24  47  40 2 2 2
   658  24  47  41 2 2 2
   659  24  47  42 2 2 2
   660  24  47  43 2 2 2
   661  24  47  44 2 2 2
   662  24  47  45 2 2 2
   663  24  47  46 2 2 2
   664  24  47  47 2 2 2
   665  24  47  48 2 2 2
   666  24  47  49 2 2 2
   667  24  48  34 2 2 2
   668  24  48  35 2 2 2
   669  24  48  36 2 2 2
   670  24  48  37 2 2 2
   671  24  48  38 2 2 2
   672  24  48  39 2 2 2
   673  24  48  40 2 2 2
   674  24  48  41 2 2 2
   675  24  48  42 2 2 2
   676  24  48  43 2 2 2
   677  24  48  44 2 2 2
   678  24  48  45 2 2 2
   679  24  48  46 2 2 2
   680  24  48  47 2 2 2
   681  24  48  48 2 2 2
   682  24  49  35 2 2 2
   683  24  49  36 2 2 2
   684  24  49  37 2 2 2
   685  24  49  38 2 2 2
   686  24  49  39 2 2 2
   687  24  49  40 2 2 2
   688  24  49  41 2 2 2
   689  24  49  42 2 2 2
   690  24  49  43 2 2 2
   691  24  49  44 2 2 2
   692  24  49  45 2 2 2
   693  24  49  46 2 2 2
   694  24  49  47 2 2 2
   695  24  50  36 2 2 2
   696  24  50  37 2 2 2
   697  24  50  38 2 2 2
   698  24  50  39 2 2 2
   699  24  50  40 2 2 2
   700  24  50  41 2 2 2
   701  24  50  42 2 2 2
   702  24  50  43 2 2 2
   703  24  50  44 2 2 2
   704  24  50  45 2 2 2
   705  24  50  46 2 2 2
   706  24  51  38 2 2 2
   707  24  51  39 2 2 2
   708  24  51  40 2 2 2
   709  24  51  41 2 2 2
   710  24  51  42 2 2 2
   711  24  51  43 2 2 2
   712  24  51  44 2 2 2
   713  25  29  41 2 2 2
   714  25  30  37 2 2 2
