>TARGSPHER  spherical target with explicit spacing
14067 = NAT
1.000000  0.000000  0.000000 = A_1 vector
0.000000  1.000000  0.000000 = A_2 vector
1.000000  1.000000  1.000000 = (d_x,d_y,d_z)/d
-40.5 -40.5 -40.5 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 1,1,1
    JA   IX   IY   IZ ICOMP(x,y,z)
   201  28  42  48 1 1 1
   202  28  43  34 1 1 1
   203  28  43  35 1 1 1
   204  28  43  36 1 1 1
   205  28  43  37 1 1 1
   206  28  43  38 1 1 1
   207  28  43  39 1 1 1
   208  28  43  40 1 1 1
   209  28  43  41 1 1 1
   210  28  43  42 1 1 1
   211  28  43  43 1 1 1
   212  28  43  44 1 1 1
   213  28  43  45 1 1 1
   214  28  43  46 1 1 1
   215  28  43  47 1 1 1
   216  28  43  48 1 1 1
   217  28  44  35 1 1 1
   218  28  44  36 1 1 1
   219  28  44  37 1 1 1
   220  28  44  38 1 1 1
   221  28  44  39 1 1 1
   222  28  44  40 1 1 1
   223  28  44  41 1 1 1
   224  28  44  42 1 1 1
   225  28  44  43 1 1 1
   226  28  44  44 1 1 1
   227  28  44  45 1 1 1
   228  28  44  46 1 1 1
   229  28  44  47 1 1 1
   230  28  45  35 1 1 1
   231  28  45  36 1 1 1
   232  28  45  37 1 1 1
   233  28  45  38 1 1 1
   234  28  45  39 1 1 1
   235  28  45  40 1 1 1
   236  28  45  41 1 1 1
   237  28  45  42 1 1 1
   238  28  45  43 1 1 1
   239  28  45  44 1 1 1
   240  28  45  45 1 1 1
   241  28  45  46 1 1 1
   242  28  45  47 1 1 1
   243  28  46  36 1 1 1
   244  28  46  37 1 1 1
   245  28  46  38 1 1 1
   246  28  46  39 1 1 1
   247  28  46  40 1 1 1
   248  28  46  41 1 1 1
   249  28  46  42 1 1 1
   250  28  46  43 1 1 1
   251  28  46  44 1 1 1
   252  28  46  45 1 1 1
   253  28  46  46 1 1 1
   254  28  47  37 1 1 1
   255  28  47  38 1 1 1
   256  28  47  39 1 1 1
   257  28  47  40 1 1 1
   258  28  47  41 1 1 1
   259  28  47  42 1 1 1
   260  28  47  43 1 1 1
   261  28  47  44 1 1 1
   262  28  47  45 1 1 1
   263  28  48  39 1 1 1
   264  28  48  40 1 1 1
   265  28  48  41 1 1 1
   266  28  48  42 1 1 1
   267  28  48  43 1 1 1
   268  29  33  37 1 1 1
   269  29  33  38 1 1 1
   270  29  33  39 1 1 1
   271  29  33  40 1 1 1
   272  29  33  41 1 1 1
   273  29  33  42 1 1 1
   274  29  33  43 1 1 1
   275  29  33  44 1 1 1
   276  29  33  45 1 1 1
   277  29  34  36 1 1 1
   278  29  34  37 1 1 1
   279  29  34  38 1 1 1
   280  29  34  39 1 1 1
   281  29  34  40 1 1 1
   282  29  34  41 1 1 1
   283  29  34  42 1 1 1
   284  29  34  43 1 1 1
   285  29  34  44 1 1 1
   286  29  34  45 1 1 1
   287  29  34  46 1 1 1
   288  29  35  35 1 1 1
   289  29  35  36 1 1 1
   290  29  35  37 1 1 1
   291  29  35  38 1 1 1
   292  29  35  39 1 1 1
   293  29  35  40 1 1 1
   294  29  35  41 1 1 1
   295  29  35  42 1 1 1
   296  29  35  43 1 1 1
   297  29  35  44 1 1 1
   298  29  35  45 1 1 1
   299  29  35  46 1 1 1
   300  29  35  47 1 1 1
   301  29  36  34 1 1 1
   302  29  36  35 1 1 1
   303  29  36  36 1 1 1
   304  29  36  37 1 1 1
   305  29  36  38 1 1 1
   306  29  36  39 1 1 1
   307  29  36  40 1 1 1
