lamda	real	imag
0.270000	-1.534426	0.126385
0.280000	-1.826842	0.140943
0.290000	-2.129842	0.156576
0.300000	-2.443421	0.173324
0.310000	-2.767574	0.191224
0.320000	-3.102293	0.210313
0.330000	-3.447575	0.230631
0.340000	-3.803412	0.252215
0.350000	-4.169799	0.275102
0.360000	-4.546730	0.299332
0.370000	-4.934196	0.324941
0.380000	-5.332193	0.351968
0.390000	-5.740713	0.380450
0.400000	-6.159749	0.410425
0.410000	-6.589294	0.441931
0.420000	-7.029340	0.475005
0.430000	-7.479879	0.509685
0.440000	-7.940905	0.546009
0.450000	-8.412408	0.584014
0.460000	-8.894381	0.623737
0.470000	-9.386815	0.665217
0.480000	-9.889702	0.708490
0.490000	-10.403034	0.753593
0.500000	-10.926800	0.800565
0.510000	-11.460993	0.849441
0.520000	-12.005602	0.900260
0.530000	-12.560620	0.953058
0.540000	-13.126035	1.007873
0.550000	-13.701838	1.064741
0.560000	-14.288020	1.123700
0.570000	-14.884570	1.184785
0.580000	-15.491478	1.248035
0.590000	-16.108734	1.313485
0.600000	-16.736326	1.381173
0.610000	-17.374245	1.451135
0.620000	-18.022478	1.523407
0.630000	-18.681016	1.598027
0.640000	-19.349846	1.675030
0.650000	-20.028958	1.754452
0.660000	-20.718339	1.836331
0.670000	-21.417978	1.920703
0.680000	-22.127862	2.007602
0.690000	-22.847981	2.097067
0.700000	-23.578320	2.189131
0.710000	-24.318868	2.283833
0.720000	-25.069613	2.381206
0.730000	-25.830541	2.481288
0.740000	-26.601639	2.584113
0.750000	-27.382894	2.689718
0.760000	-28.174293	2.798138
0.770000	-28.975823	2.909408
0.780000	-29.787469	3.023564
0.790000	-30.609219	3.140641
0.800000	-31.441057	3.260674
0.810000	-32.282970	3.383699
0.820000	-33.134944	3.509750
0.830000	-33.996963	3.638862
0.840000	-34.869015	3.771071
0.850000	-35.751083	3.906411
0.860000	-36.643152	4.044917
0.870000	-37.545209	4.186623
0.880000	-38.457237	4.331564
0.890000	-39.379220	4.479774
0.900000	-40.311145	4.631288
0.910000	-41.252994	4.786140
0.920000	-42.204752	4.944364
0.930000	-43.166403	5.105994
0.940000	-44.137930	5.271064
0.950000	-45.119318	5.439609
0.960000	-46.110550	5.611661
0.970000	-47.111609	5.787254
0.980000	-48.122479	5.966423
0.990000	-49.143142	6.149200
1.000000	-50.173581	6.335619
1.010000	-51.213780	6.525713
1.020000	-52.263720	6.719516
1.030000	-53.323385	6.917060
1.040000	-54.392756	7.118378
1.050000	-55.471816	7.323504
1.060000	-56.560547	7.532469
1.070000	-57.658930	7.745308
1.080000	-58.766948	7.962051
1.090000	-59.884582	8.182733
1.100000	-61.011814	8.407384
1.110000	-62.148624	8.636038
1.120000	-63.294994	8.868726
1.130000	-64.450906	9.105480
1.140000	-65.616339	9.346333
1.150000	-66.791275	9.591316
1.160000	-67.975694	9.840461
1.170000	-69.169577	10.093799
1.180000	-70.372904	10.351362
1.190000	-71.585656	10.613181
1.200000	-72.807812	10.879287
