lamda	real	imag
0.270000	-1.527444	0.116819
0.280000	-1.819499	0.130277
0.290000	-2.122132	0.144729
0.300000	-2.435339	0.160211
0.310000	-2.759115	0.176759
0.320000	-3.093454	0.194407
0.330000	-3.438353	0.213191
0.340000	-3.793805	0.233146
0.350000	-4.159806	0.254307
0.360000	-4.536350	0.276709
0.370000	-4.923431	0.300387
0.380000	-5.321044	0.325376
0.390000	-5.729183	0.351712
0.400000	-6.147842	0.379429
0.410000	-6.577014	0.408563
0.420000	-7.016693	0.439147
0.430000	-7.466873	0.471218
0.440000	-7.927546	0.504809
0.450000	-8.398707	0.539957
0.460000	-8.880348	0.576694
0.470000	-9.372462	0.615057
0.480000	-9.875041	0.655080
0.490000	-10.388079	0.696798
0.500000	-10.911567	0.740244
0.510000	-11.445497	0.785454
0.520000	-11.989863	0.832463
0.530000	-12.544655	0.881304
0.540000	-13.109866	0.932012
0.550000	-13.685488	0.984622
0.560000	-14.271511	1.039168
0.570000	-14.867927	1.095684
0.580000	-15.474727	1.154205
0.590000	-16.091902	1.214764
0.600000	-16.719444	1.277395
0.610000	-17.357342	1.342134
0.620000	-18.005588	1.409013
0.630000	-18.664172	1.478068
0.640000	-19.333084	1.549331
0.650000	-20.012314	1.622837
0.660000	-20.701852	1.698619
0.670000	-21.401689	1.776712
0.680000	-22.111814	1.857149
0.690000	-22.832216	1.939963
0.700000	-23.562885	2.025189
0.710000	-24.303810	2.112859
0.720000	-25.054980	2.203008
0.730000	-25.816384	2.295668
0.740000	-26.588011	2.390874
0.750000	-27.369850	2.488658
0.760000	-28.161890	2.589053
0.770000	-28.964118	2.692093
0.780000	-29.776522	2.797811
0.790000	-30.599092	2.906240
0.800000	-31.431815	3.017413
0.810000	-32.274679	3.131363
0.820000	-33.127671	3.248122
0.830000	-33.990779	3.367724
0.840000	-34.863991	3.490201
0.850000	-35.747293	3.615586
0.860000	-36.640673	3.743911
0.870000	-37.544119	3.875209
0.880000	-38.457615	4.009512
0.890000	-39.381151	4.146852
0.900000	-40.314711	4.287263
0.910000	-41.258283	4.430776
0.920000	-42.211853	4.577422
0.930000	-43.175406	4.727236
0.940000	-44.148930	4.880247
0.950000	-45.132409	5.036488
0.960000	-46.125830	5.195992
0.970000	-47.129179	5.358789
0.980000	-48.142440	5.524912
0.990000	-49.165599	5.694391
1.000000	-50.198642	5.867259
1.010000	-51.241553	6.043547
1.020000	-52.294318	6.223286
1.030000	-53.356921	6.406508
1.040000	-54.429347	6.593244
1.050000	-55.511581	6.783524
1.060000	-56.603607	6.977380
1.070000	-57.705409	7.174843
1.080000	-58.816972	7.375943
1.090000	-59.938279	7.580712
1.100000	-61.069315	7.789179
1.110000	-62.210064	8.001377
1.120000	-63.360508	8.217334
1.130000	-64.520633	8.437082
1.140000	-65.690420	8.660650
1.150000	-66.869854	8.888070
1.160000	-68.058918	9.119371
1.170000	-69.257594	9.354583
1.180000	-70.465866	9.593737
1.190000	-71.683716	9.836861
1.200000	-72.911128	10.083986
