lamda	real	imag
0.270000	-1.504384	0.034855
0.280000	-1.789232	0.038873
0.290000	-2.084435	0.043188
0.300000	-2.389992	0.047812
0.310000	-2.705902	0.052753
0.320000	-3.032165	0.058025
0.330000	-3.368780	0.063636
0.340000	-3.715748	0.069597
0.350000	-4.073067	0.075920
0.360000	-4.440737	0.082615
0.370000	-4.818758	0.089691
0.380000	-5.207129	0.097161
0.390000	-5.605849	0.105034
0.400000	-6.014918	0.113322
0.410000	-6.434336	0.122034
0.420000	-6.864101	0.131182
0.430000	-7.304213	0.140775
0.440000	-7.754672	0.150825
0.450000	-8.215477	0.161343
0.460000	-8.686627	0.172338
0.470000	-9.168122	0.183822
0.480000	-9.659961	0.195804
0.490000	-10.162142	0.208296
0.500000	-10.674667	0.221308
0.510000	-11.197533	0.234852
0.520000	-11.730740	0.248936
0.530000	-12.274288	0.263572
0.540000	-12.828175	0.278771
0.550000	-13.392401	0.294544
0.560000	-13.966965	0.310899
0.570000	-14.551866	0.327850
0.580000	-15.147103	0.345405
0.590000	-15.752677	0.363575
0.600000	-16.368584	0.382372
0.610000	-16.994826	0.401805
0.620000	-17.631400	0.421886
0.630000	-18.278307	0.442624
0.640000	-18.935545	0.464031
0.650000	-19.603113	0.486117
0.660000	-20.281010	0.508892
0.670000	-20.969235	0.532367
0.680000	-21.667788	0.556554
0.690000	-22.376668	0.581461
0.700000	-23.095873	0.607100
0.710000	-23.825402	0.633482
0.720000	-24.565255	0.660616
0.730000	-25.315429	0.688514
0.740000	-26.075926	0.717187
0.750000	-26.846742	0.746643
0.760000	-27.627878	0.776895
0.770000	-28.419332	0.807953
0.780000	-29.221102	0.839827
0.790000	-30.033189	0.872528
0.800000	-30.855590	0.906067
0.810000	-31.688305	0.940453
0.820000	-32.531332	0.975698
0.830000	-33.384670	1.011812
0.840000	-34.248318	1.048805
0.850000	-35.122276	1.086689
0.860000	-36.006540	1.125473
0.870000	-36.901111	1.165168
0.880000	-37.805987	1.205785
0.890000	-38.721167	1.247335
0.900000	-39.646650	1.289827
0.910000	-40.582434	1.333273
0.920000	-41.528517	1.377682
0.930000	-42.484900	1.423066
0.940000	-43.451579	1.469434
0.950000	-44.428555	1.516798
0.960000	-45.415825	1.565168
0.970000	-46.413388	1.614555
0.980000	-47.421243	1.664968
0.990000	-48.439388	1.716419
1.000000	-49.467822	1.768918
1.010000	-50.506544	1.822475
1.020000	-51.555552	1.877101
1.030000	-52.614845	1.932807
1.040000	-53.684420	1.989602
1.050000	-54.764277	2.047498
1.060000	-55.854415	2.106505
1.070000	-56.954831	2.166634
1.080000	-58.065524	2.227894
1.090000	-59.186492	2.290297
1.100000	-60.317734	2.353852
1.110000	-61.459249	2.418571
1.120000	-62.611035	2.484464
1.130000	-63.773089	2.551541
1.140000	-64.945412	2.619813
1.150000	-66.128000	2.689290
1.160000	-67.320852	2.759983
1.170000	-68.523967	2.831902
1.180000	-69.737343	2.905057
1.190000	-70.960978	2.979460
1.200000	-72.194870	3.055120
