lamda	real	imag
0.270000	-1.654743	0.090223
0.280000	-1.932060	0.100619
0.290000	-2.219434	0.111784
0.300000	-2.516863	0.123745
0.310000	-2.824344	0.136530
0.320000	-3.141874	0.150166
0.330000	-3.469450	0.164679
0.340000	-3.807068	0.180098
0.350000	-4.154725	0.196450
0.360000	-4.512418	0.213762
0.370000	-4.880143	0.232061
0.380000	-5.257897	0.251374
0.390000	-5.645676	0.271729
0.400000	-6.043475	0.293153
0.410000	-6.451292	0.315672
0.420000	-6.869122	0.339315
0.430000	-7.296960	0.364108
0.440000	-7.734804	0.390078
0.450000	-8.182647	0.417253
0.460000	-8.640487	0.445659
0.470000	-9.108318	0.475324
0.480000	-9.586137	0.506274
0.490000	-10.073937	0.538537
0.500000	-10.571715	0.572140
0.510000	-11.079465	0.607109
0.520000	-11.597182	0.643471
0.530000	-12.124862	0.681254
0.540000	-12.662499	0.720484
0.550000	-13.210088	0.761189
0.560000	-13.767624	0.803394
0.570000	-14.335101	0.847128
0.580000	-14.912513	0.892415
0.590000	-15.499854	0.939285
0.600000	-16.097120	0.987762
0.610000	-16.704304	1.037875
0.620000	-17.321400	1.089649
0.630000	-17.948403	1.143111
0.640000	-18.585305	1.198289
0.650000	-19.232101	1.255207
0.660000	-19.888784	1.313894
0.670000	-20.555348	1.374376
0.680000	-21.231787	1.436679
0.690000	-21.918094	1.500829
0.700000	-22.614261	1.566854
0.710000	-23.320283	1.634779
0.720000	-24.036153	1.704631
0.730000	-24.761862	1.776437
0.740000	-25.497405	1.850222
0.750000	-26.242774	1.926014
0.760000	-26.997962	2.003838
0.770000	-27.762961	2.083720
0.780000	-28.537764	2.165687
0.790000	-29.322364	2.249765
0.800000	-30.116752	2.335980
0.810000	-30.920921	2.424358
0.820000	-31.734864	2.514926
0.830000	-32.558571	2.607709
0.840000	-33.392036	2.702733
0.850000	-34.235250	2.800025
0.860000	-35.088205	2.899609
0.870000	-35.950892	3.001513
0.880000	-36.823304	3.105762
0.890000	-37.705431	3.212382
0.900000	-38.597266	3.321398
0.910000	-39.498798	3.432837
0.920000	-40.410021	3.546723
0.930000	-41.330925	3.663083
0.940000	-42.261500	3.781943
0.950000	-43.201739	3.903327
0.960000	-44.151631	4.027262
0.970000	-45.111168	4.153773
0.980000	-46.080340	4.282885
0.990000	-47.059138	4.414624
1.000000	-48.047553	4.549015
1.010000	-49.045575	4.686084
1.020000	-50.053194	4.825855
1.030000	-51.070400	4.968354
1.040000	-52.097185	5.113607
1.050000	-53.133537	5.261638
1.060000	-54.179447	5.412473
1.070000	-55.234905	5.566136
1.080000	-56.299901	5.722653
1.090000	-57.374424	5.882049
1.100000	-58.458463	6.044348
1.110000	-59.552010	6.209575
1.120000	-60.655053	6.377756
1.130000	-61.767581	6.548915
1.140000	-62.889584	6.723076
1.150000	-64.021051	6.900266
1.160000	-65.161971	7.080507
1.170000	-66.312334	7.263825
1.180000	-67.472128	7.450244
1.190000	-68.641342	7.639790
1.200000	-69.819965	7.832485
