lamda	real	imag
0.270000	-1.622734	0.115782
0.280000	-1.905760	0.129120
0.290000	-2.199035	0.143443
0.300000	-2.502554	0.158787
0.310000	-2.816313	0.175187
0.320000	-3.140307	0.192678
0.330000	-3.474531	0.211294
0.340000	-3.818979	0.231070
0.350000	-4.173647	0.252042
0.360000	-4.538528	0.274243
0.370000	-4.913618	0.297709
0.380000	-5.298909	0.322475
0.390000	-5.694397	0.348574
0.400000	-6.100075	0.376042
0.410000	-6.515936	0.404914
0.420000	-6.941975	0.435223
0.430000	-7.378184	0.467005
0.440000	-7.824557	0.500293
0.450000	-8.281088	0.535123
0.460000	-8.747768	0.571529
0.470000	-9.224590	0.609546
0.480000	-9.711548	0.649206
0.490000	-10.208633	0.690546
0.500000	-10.715839	0.733598
0.510000	-11.233156	0.778398
0.520000	-11.760578	0.824979
0.530000	-12.298095	0.873376
0.540000	-12.845700	0.923623
0.550000	-13.403384	0.975753
0.560000	-13.971139	1.029801
0.570000	-14.548955	1.085801
0.580000	-15.136824	1.143786
0.590000	-15.734737	1.203790
0.600000	-16.342684	1.265848
0.610000	-16.960656	1.329992
0.620000	-17.588644	1.396257
0.630000	-18.226638	1.464676
0.640000	-18.874627	1.535282
0.650000	-19.532603	1.608110
0.660000	-20.200555	1.683192
0.670000	-20.878472	1.760562
0.680000	-21.566344	1.840254
0.690000	-22.264161	1.922300
0.700000	-22.971912	2.006734
0.710000	-23.689586	2.093588
0.720000	-24.417172	2.182897
0.730000	-25.154659	2.274693
0.740000	-25.902036	2.369009
0.750000	-26.659290	2.465878
0.760000	-27.426412	2.565333
0.770000	-28.203387	2.667406
0.780000	-28.990206	2.772130
0.790000	-29.786856	2.879539
0.800000	-30.593324	2.989663
0.810000	-31.409599	3.102537
0.820000	-32.235668	3.218192
0.830000	-33.071518	3.336661
0.840000	-33.917136	3.457975
0.850000	-34.772511	3.582168
0.860000	-35.637628	3.709272
0.870000	-36.512474	3.839317
0.880000	-37.397037	3.972338
0.890000	-38.291303	4.108364
0.900000	-39.195258	4.247429
0.910000	-40.108888	4.389564
0.920000	-41.032180	4.534800
0.930000	-41.965120	4.683169
0.940000	-42.907693	4.834704
0.950000	-43.859886	4.989435
0.960000	-44.821684	5.147393
0.970000	-45.793072	5.308610
0.980000	-46.774036	5.473117
0.990000	-47.764561	5.640946
1.000000	-48.764632	5.812127
1.010000	-49.774234	5.986691
1.020000	-50.793351	6.164670
1.030000	-51.821970	6.346093
1.040000	-52.860073	6.530993
1.050000	-53.907646	6.719398
1.060000	-54.964672	6.911340
1.070000	-56.031137	7.106850
1.080000	-57.107023	7.305957
1.090000	-58.192315	7.508693
1.100000	-59.286997	7.715086
1.110000	-60.391052	7.925168
1.120000	-61.504464	8.138967
1.130000	-62.627216	8.356515
1.140000	-63.759292	8.577841
1.150000	-64.900674	8.802975
1.160000	-66.051346	9.031946
1.170000	-67.211290	9.264784
1.180000	-68.380490	9.501518
1.190000	-69.558928	9.742178
1.200000	-70.746587	9.986792
