lamda	real	imag
0.270000	-1.638202	0.104034
0.280000	-1.918542	0.116020
0.290000	-2.209041	0.128892
0.300000	-2.509695	0.142682
0.310000	-2.820501	0.157421
0.320000	-3.141455	0.173140
0.330000	-3.472553	0.189871
0.340000	-3.813789	0.207646
0.350000	-4.165161	0.226495
0.360000	-4.526663	0.246450
0.370000	-4.898291	0.267542
0.380000	-5.280040	0.289803
0.390000	-5.671905	0.313264
0.400000	-6.073881	0.337956
0.410000	-6.485963	0.363910
0.420000	-6.908146	0.391157
0.430000	-7.340424	0.419729
0.440000	-7.782791	0.449657
0.450000	-8.235243	0.480972
0.460000	-8.697773	0.513704
0.470000	-9.170375	0.547886
0.480000	-9.653044	0.583547
0.490000	-10.145773	0.620720
0.500000	-10.648556	0.659434
0.510000	-11.161386	0.699721
0.520000	-11.684257	0.741611
0.530000	-12.217162	0.785137
0.540000	-12.760094	0.830327
0.550000	-13.313047	0.877213
0.560000	-13.876013	0.925827
0.570000	-14.448986	0.976197
0.580000	-15.031957	1.028356
0.590000	-15.624920	1.082334
0.600000	-16.227867	1.138161
0.610000	-16.840789	1.195868
0.620000	-17.463681	1.255486
0.630000	-18.096533	1.317044
0.640000	-18.739337	1.380574
0.650000	-19.392086	1.446105
0.660000	-20.054770	1.513669
0.670000	-20.727383	1.583295
0.680000	-21.409914	1.655013
0.690000	-22.102355	1.728855
0.700000	-22.804699	1.804849
0.710000	-23.516934	1.883026
0.720000	-24.239054	1.963417
0.730000	-24.971048	2.046051
0.740000	-25.712907	2.130958
0.750000	-26.464622	2.218168
0.760000	-27.226183	2.307711
0.770000	-27.997581	2.399617
0.780000	-28.778806	2.493916
0.790000	-29.569848	2.590637
0.800000	-30.370697	2.689810
0.810000	-31.181343	2.791465
0.820000	-32.001776	2.895631
0.830000	-32.831985	3.002338
0.840000	-33.671960	3.111615
0.850000	-34.521690	3.223492
0.860000	-35.381165	3.337998
0.870000	-36.250374	3.455162
0.880000	-37.129306	3.575014
0.890000	-38.017949	3.697583
0.900000	-38.916293	3.822898
0.910000	-39.824327	3.950988
0.920000	-40.742039	4.081882
0.930000	-41.669417	4.215610
0.940000	-42.606450	4.352199
0.950000	-43.553126	4.491679
0.960000	-44.509434	4.634079
0.970000	-45.475361	4.779427
0.980000	-46.450895	4.927752
0.990000	-47.436024	5.079083
1.000000	-48.430736	5.233448
1.010000	-49.435018	5.390876
1.020000	-50.448858	5.551395
1.030000	-51.472244	5.715034
1.040000	-52.505162	5.881820
1.050000	-53.547599	6.051782
1.060000	-54.599543	6.224949
1.070000	-55.660981	6.401348
1.080000	-56.731899	6.581007
1.090000	-57.812284	6.763954
1.100000	-58.902123	6.950218
1.110000	-60.001402	7.139826
1.120000	-61.110107	7.332805
1.130000	-62.228226	7.529184
1.140000	-63.355743	7.728990
1.150000	-64.492645	7.932251
1.160000	-65.638919	8.138994
1.170000	-66.794549	8.349246
1.180000	-67.959522	8.563035
1.190000	-69.133824	8.780389
1.200000	-70.317439	9.001334
