lamda	real	imag
0.270000	-1.515915	0.090628
0.280000	-1.806185	0.101071
0.290000	-2.106985	0.112286
0.300000	-2.418312	0.124302
0.310000	-2.740164	0.137145
0.320000	-3.072536	0.150842
0.330000	-3.415426	0.165422
0.340000	-3.768832	0.180911
0.350000	-4.132749	0.197338
0.360000	-4.507175	0.214729
0.370000	-4.892106	0.233112
0.380000	-5.287539	0.252514
0.390000	-5.693469	0.272962
0.400000	-6.109894	0.294485
0.410000	-6.536809	0.317108
0.420000	-6.974211	0.340860
0.430000	-7.422096	0.365768
0.440000	-7.880460	0.391859
0.450000	-8.349297	0.419160
0.460000	-8.828605	0.447699
0.470000	-9.318379	0.477502
0.480000	-9.818615	0.508597
0.490000	-10.329307	0.541012
0.500000	-10.850451	0.574772
0.510000	-11.382043	0.609906
0.520000	-11.924077	0.646441
0.530000	-12.476549	0.684403
0.540000	-13.039454	0.723819
0.550000	-13.612787	0.764717
0.560000	-14.196542	0.807124
0.570000	-14.790714	0.851067
0.580000	-15.395298	0.896572
0.590000	-16.010288	0.943667
0.600000	-16.635679	0.992378
0.610000	-17.271466	1.042733
0.620000	-17.917641	1.094758
0.630000	-18.574200	1.148481
0.640000	-19.241136	1.203927
0.650000	-19.918444	1.261124
0.660000	-20.606118	1.320099
0.670000	-21.304150	1.380878
0.680000	-22.012536	1.443488
0.690000	-22.731267	1.507956
0.700000	-23.460339	1.574309
0.710000	-24.199745	1.642572
0.720000	-24.949477	1.712773
0.730000	-25.709529	1.784938
0.740000	-26.479894	1.859094
0.750000	-27.260565	1.935268
0.760000	-28.051536	2.013485
0.770000	-28.852799	2.093773
0.780000	-29.664346	2.176157
0.790000	-30.486171	2.260665
0.800000	-31.318266	2.347321
0.810000	-32.160624	2.436154
0.820000	-33.013237	2.527189
0.830000	-33.876097	2.620452
0.840000	-34.749197	2.715970
0.850000	-35.632529	2.813769
0.860000	-36.526084	2.913874
0.870000	-37.429856	3.016313
0.880000	-38.343835	3.121111
0.890000	-39.268014	3.228295
0.900000	-40.202384	3.337889
0.910000	-41.146937	3.449921
0.920000	-42.101665	3.564417
0.930000	-43.066558	3.681401
0.940000	-44.041609	3.800901
0.950000	-45.026808	3.922941
0.960000	-46.022148	4.047548
0.970000	-47.027618	4.174748
0.980000	-48.043210	4.304566
0.990000	-49.068914	4.437028
1.000000	-50.104723	4.572160
1.010000	-51.150626	4.709986
1.020000	-52.206614	4.850534
1.030000	-53.272677	4.993828
1.040000	-54.348807	5.139893
1.050000	-55.434994	5.288756
1.060000	-56.531227	5.440442
1.070000	-57.637498	5.594975
1.080000	-58.753796	5.752382
1.090000	-59.880111	5.912688
1.100000	-61.016434	6.075918
1.110000	-62.162755	6.242096
1.120000	-63.319062	6.411249
1.130000	-64.485347	6.583402
1.140000	-65.661598	6.758578
1.150000	-66.847805	6.936805
1.160000	-68.043958	7.118105
1.170000	-69.250046	7.302505
1.180000	-70.466059	7.490030
1.190000	-71.691985	7.680703
1.200000	-72.927814	7.874550
