lamda	real	imag
0.270000	-1.521281	0.104880
0.280000	-1.812623	0.116964
0.290000	-2.114525	0.129941
0.300000	-2.426983	0.143843
0.310000	-2.749994	0.158703
0.320000	-3.083554	0.174551
0.330000	-3.427659	0.191419
0.340000	-3.782304	0.209339
0.350000	-4.147485	0.228343
0.360000	-4.523199	0.248462
0.370000	-4.909439	0.269728
0.380000	-5.306203	0.292172
0.390000	-5.713484	0.315826
0.400000	-6.131278	0.340721
0.410000	-6.559581	0.366889
0.420000	-6.998386	0.394362
0.430000	-7.447688	0.423170
0.440000	-7.907483	0.453346
0.450000	-8.377764	0.484920
0.460000	-8.858526	0.517925
0.470000	-9.349763	0.552390
0.480000	-9.851469	0.588348
0.490000	-10.363638	0.625830
0.500000	-10.886264	0.664867
0.510000	-11.419341	0.705491
0.520000	-11.962862	0.747732
0.530000	-12.516821	0.791621
0.540000	-13.081211	0.837190
0.550000	-13.656025	0.884470
0.560000	-14.241257	0.933492
0.570000	-14.836898	0.984287
0.580000	-15.442943	1.036886
0.590000	-16.059384	1.091319
0.600000	-16.686214	1.147619
0.610000	-17.323424	1.205814
0.620000	-17.971008	1.265937
0.630000	-18.628957	1.328019
0.640000	-19.297264	1.392089
0.650000	-19.975921	1.458179
0.660000	-20.664919	1.526319
0.670000	-21.364251	1.596540
0.680000	-22.073907	1.668872
0.690000	-22.793881	1.743347
0.700000	-23.524162	1.819994
0.710000	-24.264742	1.898844
0.720000	-25.015612	1.979928
0.730000	-25.776764	2.063276
0.740000	-26.548188	2.148917
0.750000	-27.329875	2.236883
0.760000	-28.121816	2.327204
0.770000	-28.924001	2.419909
0.780000	-29.736421	2.515030
0.790000	-30.559066	2.612595
0.800000	-31.391926	2.712636
0.810000	-32.234992	2.815181
0.820000	-33.088253	2.920262
0.830000	-33.951699	3.027908
0.840000	-34.825321	3.138149
0.850000	-35.709106	3.251014
0.860000	-36.603046	3.366533
0.870000	-37.507130	3.484737
0.880000	-38.421346	3.605654
0.890000	-39.345685	3.729314
0.900000	-40.280134	3.855748
0.910000	-41.224683	3.984983
0.920000	-42.179321	4.117050
0.930000	-43.144037	4.251978
0.940000	-44.118819	4.389797
0.950000	-45.103655	4.530535
0.960000	-46.098534	4.674222
0.970000	-47.103445	4.820887
0.980000	-48.118375	4.970559
0.990000	-49.143312	5.123267
1.000000	-50.178245	5.279040
1.010000	-51.223161	5.437907
1.020000	-52.278048	5.599897
1.030000	-53.342894	5.765038
1.040000	-54.417686	5.933360
1.050000	-55.502411	6.104891
1.060000	-56.597056	6.279659
1.070000	-57.701610	6.457693
1.080000	-58.816058	6.639021
1.090000	-59.940389	6.823673
1.100000	-61.074588	7.011676
1.110000	-62.218643	7.203058
1.120000	-63.372539	7.397849
1.130000	-64.536265	7.596075
1.140000	-65.709805	7.797765
1.150000	-66.893147	8.002947
1.160000	-68.086276	8.211649
1.170000	-69.289179	8.423899
1.180000	-70.501842	8.639725
1.190000	-71.724250	8.859154
1.200000	-72.956389	9.082214
