 >TARCYLCAP  cylinder with end-caps: Length= 50.0000 Diameter= 14.0000
      9272 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -25.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    180  30   1  -6 1 1 1
    181  31   1  -6 1 1 1
    182  32   1  -6 1 1 1
    183  33   1  -6 1 1 1
    184  34   1  -6 1 1 1
    185  35   1  -6 1 1 1
    186  36   1  -6 1 1 1
    187  37   1  -6 1 1 1
    188  38   1  -6 1 1 1
    189  39   1  -6 1 1 1
    190  40   1  -6 1 1 1
    191  41   1  -6 1 1 1
    192  42   1  -6 1 1 1
    193  43   1  -6 1 1 1
    194  44   1  -6 1 1 1
    195  45   1  -6 1 1 1
    196  46   1  -6 1 1 1
    197  47   1  -6 1 1 1
    198  48   1  -6 1 1 1
    199  49   1  -6 1 1 1
    200  50   1  -6 1 1 1
    201   1   2  -6 1 1 1
    202   2   2  -6 1 1 1
    203   3   2  -6 1 1 1
    204   4   2  -6 1 1 1
    205   5   2  -6 1 1 1
    206   6   2  -6 1 1 1
    207   7   2  -6 1 1 1
    208   8   2  -6 1 1 1
    209   9   2  -6 1 1 1
    210  10   2  -6 1 1 1
    211  11   2  -6 1 1 1
    212  12   2  -6 1 1 1
    213  13   2  -6 1 1 1
    214  14   2  -6 1 1 1
    215  15   2  -6 1 1 1
    216  16   2  -6 1 1 1
    217  17   2  -6 1 1 1
    218  18   2  -6 1 1 1
    219  19   2  -6 1 1 1
    220  20   2  -6 1 1 1
    221  21   2  -6 1 1 1
    222  22   2  -6 1 1 1
    223  23   2  -6 1 1 1
    224  24   2  -6 1 1 1
    225  25   2  -6 1 1 1
    226  26   2  -6 1 1 1
    227  27   2  -6 1 1 1
    228  28   2  -6 1 1 1
    229  29   2  -6 1 1 1
    230  30   2  -6 1 1 1
    231  31   2  -6 1 1 1
    232  32   2  -6 1 1 1
    233  33   2  -6 1 1 1
    234  34   2  -6 1 1 1
    235  35   2  -6 1 1 1
    236  36   2  -6 1 1 1
    237  37   2  -6 1 1 1
    238  38   2  -6 1 1 1
    239  39   2  -6 1 1 1
    240  40   2  -6 1 1 1
    241  41   2  -6 1 1 1
    242  42   2  -6 1 1 1
    243  43   2  -6 1 1 1
    244  44   2  -6 1 1 1
    245  45   2  -6 1 1 1
    246  46   2  -6 1 1 1
    247  47   2  -6 1 1 1
    248  48   2  -6 1 1 1
    249  49   2  -6 1 1 1
    250  50   2  -6 1 1 1
    251   1   3  -6 1 1 1
    252   2   3  -6 1 1 1
    253   3   3  -6 1 1 1
    254   4   3  -6 1 1 1
    255   5   3  -6 1 1 1
    256   6   3  -6 1 1 1
    257   7   3  -6 1 1 1
    258   8   3  -6 1 1 1
    259   9   3  -6 1 1 1
    260  10   3  -6 1 1 1
    261  11   3  -6 1 1 1
    262  12   3  -6 1 1 1
    263  13   3  -6 1 1 1
    264  14   3  -6 1 1 1
    265  15   3  -6 1 1 1
    266  16   3  -6 1 1 1
    267  17   3  -6 1 1 1
    268  18   3  -6 1 1 1
    269  19   3  -6 1 1 1
    270  20   3  -6 1 1 1
    271  21   3  -6 1 1 1
    272  22   3  -6 1 1 1
    273  23   3  -6 1 1 1
    274  24   3  -6 1 1 1
    275  25   3  -6 1 1 1
    276  26   3  -6 1 1 1
    277  27   3  -6 1 1 1
    278  28   3  -6 1 1 1
    279  29   3  -6 1 1 1
    280  30   3  -6 1 1 1
    281  31   3  -6 1 1 1
    282  32   3  -6 1 1 1
    283  33   3  -6 1 1 1
    284  34   3  -6 1 1 1
    285  35   3  -6 1 1 1
    286  36   3  -6 1 1 1
    287  37   3  -6 1 1 1
    288  38   3  -6 1 1 1
    289  39   3  -6 1 1 1
    290  40   3  -6 1 1 1
    291  41   3  -6 1 1 1
    292  42   3  -6 1 1 1
    293  43   3  -6 1 1 1
    294  44   3  -6 1 1 1
    295  45   3  -6 1 1 1
    296  46   3  -6 1 1 1
    297  47   3  -6 1 1 1
    298  48   3  -6 1 1 1
    299  49   3  -6 1 1 1
    300  50   3  -6 1 1 1
    301   1  -3  -5 1 1 1
    302   2  -3  -5 1 1 1
    303   3  -3  -5 1 1 1
    304   4  -3  -5 1 1 1
    305   5  -3  -5 1 1 1
    306   6  -3  -5 1 1 1
    307   7  -3  -5 1 1 1
    308   8  -3  -5 1 1 1
    309   9  -3  -5 1 1 1
    310  10  -3  -5 1 1 1
    311  11  -3  -5 1 1 1
    312  12  -3  -5 1 1 1
    313  13  -3  -5 1 1 1
    314  14  -3  -5 1 1 1
    315  15  -3  -5 1 1 1
    316  16  -3  -5 1 1 1
    317  17  -3  -5 1 1 1
    318  18  -3  -5 1 1 1
    319  19  -3  -5 1 1 1
    320  20  -3  -5 1 1 1
    321  21  -3  -5 1 1 1
    322  22  -3  -5 1 1 1
    323  23  -3  -5 1 1 1
    324  24  -3  -5 1 1 1
    325  25  -3  -5 1 1 1
    326  26  -3  -5 1 1 1
    327  27  -3  -5 1 1 1
    328  28  -3  -5 1 1 1
    329  29  -3  -5 1 1 1
    330  30  -3  -5 1 1 1
    331  31  -3  -5 1 1 1
    332  32  -3  -5 1 1 1
    333  33  -3  -5 1 1 1
    334  34  -3  -5 1 1 1
    335  35  -3  -5 1 1 1
    336  36  -3  -5 1 1 1
    337  37  -3  -5 1 1 1
    338  38  -3  -5 1 1 1
    339  39  -3  -5 1 1 1
    340  40  -3  -5 1 1 1
    341  41  -3  -5 1 1 1
    342  42  -3  -5 1 1 1
    343  43  -3  -5 1 1 1
    344  44  -3  -5 1 1 1
    345  45  -3  -5 1 1 1
    346  46  -3  -5 1 1 1
    347  47  -3  -5 1 1 1
    348  48  -3  -5 1 1 1
    349  49  -3  -5 1 1 1
    350  50  -3  -5 1 1 1
    351   1  -2  -5 1 1 1
    352   2  -2  -5 1 1 1
    353   3  -2  -5 1 1 1
    354   4  -2  -5 1 1 1
    355   5  -2  -5 1 1 1
    356   6  -2  -5 1 1 1
    357   7  -2  -5 1 1 1
    358   8  -2  -5 1 1 1
    359   9  -2  -5 1 1 1
    360  10  -2  -5 1 1 1
    361  11  -2  -5 1 1 1
    362  12  -2  -5 1 1 1
    363  13  -2  -5 1 1 1
    364  14  -2  -5 1 1 1
    365  15  -2  -5 1 1 1
    366  16  -2  -5 1 1 1
    367  17  -2  -5 1 1 1
    368  18  -2  -5 1 1 1
    369  19  -2  -5 1 1 1
    370  20  -2  -5 1 1 1
    371  21  -2  -5 1 1 1
    372  22  -2  -5 1 1 1
    373  23  -2  -5 1 1 1
    374  24  -2  -5 1 1 1
    375  25  -2  -5 1 1 1
    376  26  -2  -5 1 1 1
    377  27  -2  -5 1 1 1
    378  28  -2  -5 1 1 1
    379  29  -2  -5 1 1 1
    380  30  -2  -5 1 1 1
    381  31  -2  -5 1 1 1
    382  32  -2  -5 1 1 1
    383  33  -2  -5 1 1 1
    384  34  -2  -5 1 1 1
    385  35  -2  -5 1 1 1
    386  36  -2  -5 1 1 1
    387  37  -2  -5 1 1 1
    388  38  -2  -5 1 1 1
    389  39  -2  -5 1 1 1
    390  40  -2  -5 1 1 1
    391  41  -2  -5 1 1 1
    392  42  -2  -5 1 1 1
    393  43  -2  -5 1 1 1
    394  44  -2  -5 1 1 1
    395  45  -2  -5 1 1 1
    396  46  -2  -5 1 1 1
    397  47  -2  -5 1 1 1
    398  48  -2  -5 1 1 1
    399  49  -2  -5 1 1 1
    400  50  -2  -5 1 1 1
    401   1  -1  -5 1 1 1
    402   2  -1  -5 1 1 1
    403   3  -1  -5 1 1 1
    404   4  -1  -5 1 1 1
    405   5  -1  -5 1 1 1
    406   6  -1  -5 1 1 1
    407   7  -1  -5 1 1 1
    408   8  -1  -5 1 1 1
    409   9  -1  -5 1 1 1
    410  10  -1  -5 1 1 1
    411  11  -1  -5 1 1 1
    412  12  -1  -5 1 1 1
    413  13  -1  -5 1 1 1
    414  14  -1  -5 1 1 1
    415  15  -1  -5 1 1 1
    416  16  -1  -5 1 1 1
    417  17  -1  -5 1 1 1
    418  18  -1  -5 1 1 1
    419  19  -1  -5 1 1 1
    420  20  -1  -5 1 1 1
    421  21  -1  -5 1 1 1
    422  22  -1  -5 1 1 1
    423  23  -1  -5 1 1 1
    424  24  -1  -5 1 1 1
    425  25  -1  -5 1 1 1
    426  26  -1  -5 1 1 1
    427  27  -1  -5 1 1 1
    428  28  -1  -5 1 1 1
    429  29  -1  -5 1 1 1
    430  30  -1  -5 1 1 1
    431  31  -1  -5 1 1 1
    432  32  -1  -5 1 1 1
    433  33  -1  -5 1 1 1
    434  34  -1  -5 1 1 1
    435  35  -1  -5 1 1 1
    436  36  -1  -5 1 1 1
    437  37  -1  -5 1 1 1
    438  38  -1  -5 1 1 1
    439  39  -1  -5 1 1 1
    440  40  -1  -5 1 1 1
    441  41  -1  -5 1 1 1
    442  42  -1  -5 1 1 1
    443  43  -1  -5 1 1 1
    444  44  -1  -5 1 1 1
    445  45  -1  -5 1 1 1
    446  46  -1  -5 1 1 1
    447  47  -1  -5 1 1 1
    448  48  -1  -5 1 1 1
    449  49  -1  -5 1 1 1
    450  50  -1  -5 1 1 1
    451   1   0  -5 1 1 1
    452   2   0  -5 1 1 1
    453   3   0  -5 1 1 1
    454   4   0  -5 1 1 1
    455   5   0  -5 1 1 1
    456   6   0  -5 1 1 1
    457   7   0  -5 1 1 1
    458   8   0  -5 1 1 1
    459   9   0  -5 1 1 1
    460  10   0  -5 1 1 1
    461  11   0  -5 1 1 1
    462  12   0  -5 1 1 1
    463  13   0  -5 1 1 1
    464  14   0  -5 1 1 1
