 >REASHP: option FROM_FILE
      4169 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -20.50000 -20.50000 -20.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    201   14   17   20 1 1 1
    202   14   17   21 1 1 1
    203   14   17   22 1 1 1
    204   14   17   23 1 1 1
    205   14   17   24 1 1 1
    206   14   17   25 3 3 3
    207   14   17   26 4 4 4
    208   14   18   15 4 4 4
    209   14   18   16 3 3 3
    210   14   18   17 1 1 1
    211   14   18   18 1 1 1
    212   14   18   19 1 1 1
    213   14   18   20 1 1 1
    214   14   18   21 1 1 1
    215   14   18   22 1 1 1
    216   14   18   23 1 1 1
    217   14   18   24 1 1 1
    218   14   18   25 1 1 1
    219   14   18   26 3 3 3
    220   14   18   27 4 4 4
    221   14   19   15 4 4 4
    222   14   19   16 2 2 2
    223   14   19   17 1 1 1
    224   14   19   18 1 1 1
    225   14   19   19 1 1 1
    226   14   19   20 1 1 1
    227   14   19   21 1 1 1
    228   14   19   22 1 1 1
    229   14   19   23 1 1 1
    230   14   19   24 1 1 1
    231   14   19   25 1 1 1
    232   14   19   26 2 2 2
    233   14   19   27 4 4 4
    234   14   20   14 5 5 5
    235   14   20   15 4 4 4
    236   14   20   16 1 1 1
    237   14   20   17 1 1 1
    238   14   20   18 1 1 1
    239   14   20   19 1 1 1
    240   14   20   20 1 1 1
    241   14   20   21 1 1 1
    242   14   20   22 1 1 1
    243   14   20   23 1 1 1
    244   14   20   24 1 1 1
    245   14   20   25 1 1 1
    246   14   20   26 1 1 1
    247   14   20   27 4 4 4
    248   14   20   28 5 5 5
    249   14   21   14 5 5 5
    250   14   21   15 3 3 3
    251   14   21   16 1 1 1
    252   14   21   17 1 1 1
    253   14   21   18 1 1 1
    254   14   21   19 1 1 1
    255   14   21   20 1 1 1
    256   14   21   21 1 1 1
    257   14   21   22 1 1 1
    258   14   21   23 1 1 1
    259   14   21   24 1 1 1
    260   14   21   25 1 1 1
    261   14   21   26 1 1 1
    262   14   21   27 3 3 3
    263   14   21   28 5 5 5
    264   14   22   14 5 5 5
    265   14   22   15 4 4 4
    266   14   22   16 1 1 1
    267   14   22   17 1 1 1
    268   14   22   18 1 1 1
    269   14   22   19 1 1 1
    270   14   22   20 1 1 1
    271   14   22   21 1 1 1
    272   14   22   22 1 1 1
    273   14   22   23 1 1 1
    274   14   22   24 1 1 1
    275   14   22   25 1 1 1
    276   14   22   26 1 1 1
    277   14   22   27 4 4 4
