wave(um),Re(n),Im(n),eps1,eps2
0.27,1.3427195832574115,1.559893632077082,-0.6303722641316742,4.188999455176859
0.271,1.3456787278257951,1.562729384462119,-0.6312718905385033,4.205863380037944
0.272,1.3486129039970334,1.565496804418333,-0.632023479816701,4.222498383209367
0.273,1.3515211053671332,1.5681957067901953,-0.6326284765424024,4.238899190146155
0.274,1.3544023064975041,1.570825911984419,-0.6330884379159223,4.255060476595485
0.275,1.3572554624381483,1.573387246635425,-0.6334050375568119,4.270976870052897
0.276,1.360079508257889,1.5758795443048104,-0.633580069375316,4.286642951383506
0.277,1.3628733585830346,1.5783026462159746,-0.633615451516947,4.302053256617713
0.278,1.3656359071459983,1.5806564020250673,-0.633513230376358,4.317202278931264
0.279,1.3683660263455182,1.5829406706294056,-0.6332755846760487,4.332084470819739
0.28,1.3710625668202727,1.5851553210144873,-0.6329048296047473,4.346694246477872
0.281,1.3737243570378064,1.5873002331407065,-0.6324034210096063,4.361025984394353
0.282,1.376350202900856,1.5893752988708405,-0.6317739596355458,4.375074030172979
0.283,1.3789388873733048,1.5913804229393371,-0.6310191954042554,4.388832699591257
0.284,1.3814891701281626,1.5933155239643633,-0.6301420317244342,4.402296281907693
0.285,1.3839997872201324,1.5951805355035233,-0.6291455298239363,4.415459043429147
0.286,1.3864694507855073,1.5969754071540687,-0.6280329130934372,4.428315231349728
0.287,1.388896848772307,1.5987001056983208,-0.6268075714301773,4.4408590778727035
0.288,1.3912806447037538,1.600354616294924,-0.6254730655691809,4.45308480462686
0.289,1.3936194774783854,1.6019389437164266,-0.6240331313881728,4.464986627388726
0.29,1.3959119612102653,1.6034531136335193,-0.6224916841711381,4.476558761121744
0.291,1.3981566851129692,1.604897173946122,-0.6208528228141625,4.487795425343364
0.292,1.400352213431214,1.6062711961613103,-0.6191208339557857,4.498690849830589
0.293,1.4024970854241738,1.6075752768178666,-0.6173001960127376,4.509239280674034
0.294,1.4045898154047407,1.6088095389570167,-0.6153955831003648,4.519434986690044
0.295,1.4066288928391575,1.609974133638648,-0.6134118688156012,4.5292722661996265
0.296,1.408612782511644,1.611069241502031,-0.6113541298587339,4.538745454182199
0.297,1.4105399247588037,1.6120950743697544,-0.6092276494686528,4.547848929811103
0.298,1.4124087357787671,1.6130518768932465,-0.6070379206446501,4.556577124376716
0.299,1.4142176080201798,1.6139399282378828,-0.6047906491261839,4.564924529601679
0.3,1.4159649106562722,1.614759543805297,-0.6024917561004659,4.5728857063512605
0.301,1.4176489901493745,1.6155110769900618,-0.6001473806060482,4.580455293740179
0.302,1.419268170911324,1.6161949209674702,-0.5977638815990722,4.587628018635346
0.303,1.4208207560652866,1.6168115105086323,-0.5953478396472731,4.594398705551866
0.304,1.4223050283145475,1.6173613238185915,-0.5929060582153813,4.600762286937313
0.305,1.4237192509238352,1.6178448843926114,-0.5904455645042161,4.606713813836815
0.306,1.425061668818688,1.6182627628851813,-0.5879736098044768,4.612248466928595
0.307,1.4263305098083223,1.618615578985693,-0.5854976693251217,4.617361567916713
0.308,1.4275239859372992,1.618904003294085,-0.5830254414553004,4.622048591264446
0.309,1.4286402949711259,1.6191287591890908,-0.5805648464180191,4.626305176248271
0.31,1.4296776220206697,1.6192906246810166,-0.5781240242731607,4.630127139308642
0.311,1.4306341413099681,1.6193904342403114,-0.5757113322273137,4.633510486669929
0.312,1.431508018091628,1.6194290805924065,-0.5733353412077467,4.636451427197566
0.313,1.4322974107135589,1.6194075164686232,-0.5710048316583083,4.638946385456169
0.314,1.4330004728402643,1.6193267563021885,-0.5687287885157457,4.640992014927855
0.315,1.4336153558312623,1.6191878778576625,-0.566516395326004,4.642585211345159
0.316,1.4341402112785575,1.6189920237813793,-0.5643770274616213,4.643723126088252
0.317,1.4345731937042159,1.6187404030597858,-0.5623202444034452,4.644403179591054
0.318,1.4349124634182677,1.6184342923719075,-0.5603557810522752,4.64462307469595
0.319,1.435156189536115,1.6180750373215216,-0.5584935380392229,4.644380809891723
0.32,1.4353025531535595,1.6176640535340585,-0.5567435710071154,4.643674692364341
0.321,1.435349750676355,1.6172028276027122,-0.5551160788395326,4.642503350785299
0.322,1.4352959972999075,1.6166929178678124,-0.5536213908188046,4.640865747757559
0.323,1.4351395306333403,1.6161359550131504,-0.5522699526997834,4.638761191834476
0.324,1.4348786144606607,1.6155336424626845,-0.5510723116922036,4.6361893490228825
0.325,1.4345115426302095,1.6148877565609292,-0.5500391003510874,4.633150253677713
0.326,1.4340366430618796,1.614200146520304,-0.5491810193819857,4.629644318691942
0.327,1.4334522818599071,1.613472734118845,-0.5485088193755665,4.625672344882803
0.328,1.4327568675172029,1.6127075131319868,-0.54803328149465,4.621235529472887
0.329,1.4319488551953936,1.6119065484825352,-0.5477651971454818,4.616335473563048
0.33,1.4310267510628296,1.6110719750936209,-0.5477153466746225,4.6109741884932
0.331,1.4299891166709477,1.610205996430212,-0.5478944771424543,4.605154100987004
0.332,1.4288345733474637,1.6093108827157923,-0.5483132792344532,4.5988780569772985
0.333,1.4275618065829985,1.6083889688120285,-0.5489823633817066,4.592149324010931
0.334,1.4261695703859085,1.6074426517506815,-0.5499122351725361,4.584971592134511
0.335,1.424656691578305,1.6064743879086505,-0.5511132701476309,4.5773489731664405
0.336,1.423022074004562,1.605486689818912,-0.5525956880814422,4.569285998265654
0.337,1.421264702622027,1.604482122612146,-0.5543695268626987,4.560787613713421
0.338,1.4193836474422086,1.603463300086144,-0.5564446160967997,4.551859174831984
0.339,1.417378067289401,1.6024328804025152,-0.5588305505620639,4.542506437971809
0.34,1.4152472133426162,1.6013935614128878,-0.5615366636606116,4.532735550508795
0.341,1.4129904324257572,1.600348075619575,-0.5645720010125488,4.5225530388028625
0.342,1.4106071700102827,1.5992991847786522,-0.5679452943492431,4.511965794080734
0.343,1.4080969728941526,1.5982496741564736,-0.5716649358675978,4.500981056217592
0.344,1.4054594915206273,1.5972023464538365,-0.575738953212221,4.489606395405124
0.345,1.4026944819005607,1.5961600154152895,-0.5801749852562552,4.477849691706681
0.346,1.399801807102137,1.5951254991443757,-0.584980258854185,4.465719112513991
0.347,1.3967814382726045,1.5941016131489816,-0.5901615667412998,4.453223087933827
0.348,1.3936334551574137,1.593091163144285,-0.5957252467544194,4.440370284147026
0.349,1.390358046083319,1.592096937644131,-0.6016771625471948,4.42716957479626
0.35,1.3869555073733542,1.5911217003749303,-0.6080226859707314,4.413630010472532
0.351,1.3834262421632597,1.5901681825493683,-0.6147666812864032,4.399760786383706
0.352,1.3797707585907422,1.5892390750403096,-0.6219134913729065,4.385571208300835
0.353,1.3759896673310357,1.588337020498305,-0.629466926083659,4.371070656890062
0.354,1.3720836784544173,1.587464605458948,-0.6374302529039291,4.356268550548607
0.355,1.3680535975837191,1.5866243524891388,-0.645806190049822,4.34117430687341
0.356,1.3639003213323562,1.5858187124239287,-0.6545969021433828,4.325797302899719
0.357,1.3596248320059559,1.5850500567482113,-0.6638039985902844,4.310146834254636
0.358,1.3552281915533129,1.5843206701799755,-0.673428534778663,4.294232073377081
0.359,1.350711534755069,1.5836327435143076,-0.6834710162102589,4.278062026961182
0.36,1.3460760616412053,1.582988366789757,-0.6939314056682044,4.2616454927844
0.361,1.341323029131118,1.582389522841171,-0.704809133520031,4.244991016085328
0.362,1.3364537418927855,1.5818380813057413,-0.7161031112498009,4.228106845659124
0.363,1.3314695424202219,1.5813357931517926,-0.7278117483102942,4.211000889841072
0.364,1.3263718003312015,1.5808842858029313,-0.7399329723848114,4.19368067255148
0.365,1.3211619008900821,1.580485058933638,-0.75246425314897,4.176153289578277
0.366,1.3158412327635778,1.5801394810162865,-0.7654026296256471,4.158425365277742
0.367,1.3104111750206089,1.57984878670411,-0.7787447412315553,4.140503009879632
0.368,1.304873083390999,1.579614075139774,-0.792486862621351,4.1223917775909165
0.369,1.2992282758020344,1.5794363092852508,-0.806624942445088,4.10409662570361
0.37,1.2934780172168505,1.5793163163755228,-0.8211546461467156,4.085621874927263
0.371,1.2876235038046435,1.5792547896065403,-0.8360714029450511,4.066971171186877
0.372,1.2816658464800736,1.5792522911767628,-0.8513704571535707,4.048147449153323
0.373,1.2756060538582896,1.5793092568116225,-0.8670469240109613,4.029152897806684
0.374,1.2694450146833511,1.5794260019113213,-0.8830958502091675,4.009988928375168
0.375,1.2631834798017914,1.5796027294744208,-0.8995122793188779,3.990656145043813
0.376,1.2568220437704742,1.5798395399625507,-0.9162913223216917,3.971154318890278
0.377,1.2503611262092895,1.5801364432849052,-0.9334282334617083,3.9514823655801106
0.378,1.2438009530354666,1.5804933730945792,-0.9509184916239461,3.931638327442553
0.379,1.2371415377482322,1.5809102036015181,-0.9687578874293332,3.911619360650906
0.38,1.2303826629709864,1.58138676911802,-0.9869426162019539,3.8914217283490276
0.381,1.2235238625041553,1.5819228865609936,-1.0054693769083785,3.871040800697659
0.382,1.2165644041961432,1.5825183811390189,-1.024335477085744,3.8504710629596715
0.383,1.209503274003132,1.5831731154494266,-1.0435389436575484,3.8297061328996396
0.384,1.202339161681289,1.5838870221985923,-1.0630786393766596,3.8087387889362576
0.385,1.1950704486372838,1.5846601407341718,-1.0829543844255265,3.7875610106496165
0.386,1.187695198554303,1.5854926575372488,-1.1031670824355828,3.766164033400184
0.387,1.1802111515094647,1.5863849507609928,-1.123718849853661,3.744538418949834
0.388,1.1726157224019993,1.5873376388154692,-1.1446131471759058,3.7226741440709707
0.389,1.1649060046153923,1.5883516328806147,-1.1658549100855184,3.7005607091665826
0.39,1.1570787799347475,1.5894281930759038,-1.1874506779692489,3.6781872688763135
0.391,1.1491305358241097,1.5905689878214355,-1.2094087166559002,3.655542786480916
0.392,1.1410574912263423,1.5917761556878995,-1.2317391315327941,3.6326162136062923
0.393,1.132855632066218,1.5930523687513556,-1.2544539664801548,3.609396696232805
0.394,1.1245207575992717,1.5944008961458367,-1.2775672833590068,3.5858738073017484
0.395,1.1160485386362238,1.5958256661503387,-1.301095216152122,3.5620378052505277
0.396,1.1074345884664392,1.5973313247711602,-1.325055993363358,3.5378799165850037
0.397,1.098674546986436,1.5989232884079223,-1.3494699220173536,3.513392639115273
0.398,1.0897641780976044,1.600607787852458,-1.3743593266691922,3.488570060771318
0.399,1.0806994798656129,1.6023919006029648,-1.3997484373361755,3.4634081870449895
0.4,1.0714768062388904,1.604283568326532,-1.4256632212946174,3.4379052681840863
0.401,1.0620929983271623,1.6062915963197801,-1.452131155311966,3.4120621154459982
0.402,1.0525455223838784,1.6084256320454684,-1.4791809371305127,3.3858823941938345
0.403,1.0428326107786947,1.6106961202985166,-1.5068421378411845,3.3593728806040337
0.404,1.0329534014651254,1.613114233295382,-1.5351448000617762,3.3325436684685457
0.405,1.0229080708328349,1.615691774977273,-1.5641189903542587,3.305408313204962
0.406,1.0126979544735826,1.618441060029056,-1.5937943177929959,3.2779839018549635
0.407,1.002325650362875,1.6213747694662684,-1.6241994336864343,3.250291040574468
0.408,0.9917950993183164,1.6245057860265302,-1.6553615298018456,3.222353754790724
0.409,0.9811116383542984,1.6278470138927177,-1.6873058537251824,3.1941993015808734
0.41,0.9702820236785219,1.6314111883431808,-1.720055259977621,3.1658578985548074
0.411,0.9593144214892084,1.6352106816533023,-1.7536298141158828,3.137362378166424
0.412,0.9482183663137763,1.6392573118801799,-1.788046464337866,3.108747780477873
0.413,0.9370046882371653,1.6435621610126174,-1.823318791334037,3.080050900556058
0.414,0.9256854118543361,1.648135408379581,-1.8594568426345965,3.051309808595134
0.415,0.9142736310174052,1.652986184249732,-1.896467052946739,3.0225633613912164
0.416,0.9027833643390495,1.6581224473291931,-1.9343522474096204,2.993850722971895
0.417,0.8912293969115331,1.6635508885020223,-1.973111720716573,2.9652109101826047
0.418,0.8796271138038527,1.6692768617878395,-2.0127413819613618,2.93668237614798
0.419,0.8679923306491908,1.6753043422277647,-2.053233953021389,2.908302641113974
0.42,0.8563411261026587,1.6816359093396624,-2.0945792073258636,2.8801079765971895
0.421,0.8446896802231316,1.6882727539591678,-2.1367642358854164,2.852133145342391
0.422,0.8330541220034213,1.6952147057224405,-2.17977372831073,2.824411196565792
0.423,0.8214503884219372,1.7024602781401008,-2.2235902580063183,2.7969733135022103
0.424,0.8098940965822955,1.7100067281278348,-2.26819456256361,2.7698487084534795
0.425,0.7984004297917665,1.717850126954011,-2.3135658123842338,2.743064559355846
0.426,0.7869840378323709,1.7259854397899492,-2.3596818625639617,2.716645981291549
0.427,0.7756589512107169,1.734406611357319,-2.4065194849266693,2.6906160262767034
0.428,0.7644385088318589,1.743106655518271,-2.4540545787270163,2.664995704958552
0.429,0.7533352983172895,1.7520777470138422,-2.502262359890302,2.6398040244435146
0.43,0.7423611080608462,1.7613113138998,-2.5511175297101127,2.615058037253521
0.431,0.7315268900697347,1.770798129539109,-2.6005944246841097,2.5907728972860955
0.432,0.7208427326515092,1.7805284032761535,-2.6506671496566336,2.566961919562422
0.433,0.7103178420635097,1.790491869134921,-2.7013096966845014,2.543636641432354
0.434,0.6999605323223683,1.800677872050753,-2.752496052084215,2.520806883723509
0.435,0.6897782224637272,1.811075451265784,-2.804200293992344,2.49848081104361
0.436,0.6797774406344693,1.8216734205966711,-2.8563966825128273,2.4766649910500886
0.437,0.6699638344822454,1.832460445326446,-2.9090597441718424,2.455364452975897
0.438,0.660342187373113,1.8434251154881367,-2.962164351987742,2.434582746039939
0.439,0.6509164400132504,1.8545560153047418,-3.0156858020234787,2.4143219985746436
0.44,0.6416897170730409,1.8658417885369583,-3.0695998868535157,2.3945829787786748
0.441,0.6326643584118291,1.8772711994751183,-3.123882965974098,2.375365157961861
0.442,0.6238419544818773,1.8888331893026244,-3.1785120328393557,2.3566667770095737
0.443,0.6152233854550327,1.9005169275608567,-3.233464777934607,2.3384849165771753
0.444,0.6068088635712177,1.9123118584643009,-3.2887196471145956,2.320815571256971
0.445,0.5985979781606825,1.9242077418516939,-3.3442558943439376,2.3036537276671125
0.446,0.5905897427487764,1.936194688614023,-3.4000536279770874,2.286993446120205
0.447,0.5827826436187953,1.9482631905112247,-3.4560938497976643,2.2708279452626403
0.448,0.575174689190217,1.9604041443723308,-3.5123584861871477,2.2551496888531384
0.449,0.5677634595694878,1.972608870763571,-3.568830410992817,2.239950473684371
0.45,0.5605461556498971,1.9848691272998362,-3.6254934598941344,2.2252215175521792
0.451,0.5535196471754327,1.9971771168614512,-3.682332436305803,2.2109535461439966
0.452,0.5466805192388132,2.0095254910552875,-3.7393331090857767,2.197136877747472
0.453,0.5400251167527632,2.021907349323198,-3.7964822025233254,2.1837615047630594
0.454,0.5335495865119456,2.034316234148813,-3.8537673792543394,2.1708171711292747
0.455,0.5272499165463839,2.0467461228448687,-3.9111772168823333,2.1582934449231845
0.456,0.5211219725514477,2.0591914164174177,-3.9687011791712594,2.1461797855689078
0.457,0.5151615312607023,2.0716469260017454,-4.026329582721608,2.1344656052611706
0.458,0.5093643107031315,2.084107857349579,-4.084053560048175,2.1231403243796976
0.459,0.5037259973531174,2.0965697938205876,-4.141865019951508,2.1121934208253905
0.46,0.49824227023867773,2.109028678296191,-4.199756606023188,2.1016144733455446
0.461,0.4929088221202662,2.121480794392715,-4.257721654053157,2.0913931990297603
0.462,0.48772137788881137,2.1339227473067446,-4.3157541490234035,2.081519485249447
0.463,0.48267571035823736,2.1463514445801257,-4.3738486822813645,2.0719834163822823
0.464,0.47776765364533996,2.1587640770273304,-4.432000409393888,2.0627752957103915
0.465,0.47299311433965935,2.1711581000252176,-4.490205009092382,2.053885662909411
0.466,0.4683480806692011,2.183531215325569,-4.548458643634632,2.0453053075580367
0.467,0.4638286298656725,2.1958813535148107,-4.606757920830971,2.0370252790967065
0.468,0.4594309339265667,2.2082066572134056,-4.665099857912966,2.0290368936528327
0.469,0.4551512639619395,2.220505465079635,-4.723481847362375,2.0213317381307805
0.47,0.4509859933021441,2.232776296658729,-4.7819016247663475,2.01390167194024
0.471,0.4469315995297611,2.2450178380984487,-4.840357238722001,2.0067388267083706
0.472,0.4429846655852998,2.2572289287358647,-4.898847022778339,1.9998356042910423
0.473,0.4391418800823505,2.269408548546967,-4.957369569375788,1.9931846733677459
