wave(um),Re(n),Im(n),eps1,eps2
0.27,1.3985418140687573,1.6806096659714538,-0.8685296436579507,4.700805781978411
0.271,1.4022374952895675,1.684075893493862,-0.8698416218511899,4.722948725540747
0.272,1.4059182482549988,1.6874752813410157,-0.8709667043605357,4.744904583033144
0.273,1.4095832567315325,1.690807572740382,-0.8719052903783485,4.76666808977945
0.274,1.4132316879363693,1.6940725115326114,-0.87265787054293,4.788233909919674
0.275,1.4168626920002136,1.697269842636611,-0.8732250307416142,4.809596636577775
0.276,1.4204754014270953,1.7003993125433678,-0.8736074560384905,4.830750792142795
0.277,1.4240689305519407,1.7034606698399135,-0.8738059347280989,4.851690828672437
0.278,1.4276423749966878,1.7064536657648377,-0.8738213625160696,4.872411128428634
0.279,1.43119481112584,1.7093780547968165,-0.8736547468274201,4.89290600455517
0.28,1.4347252955024734,1.7122335952776457,-0.873307211242754,4.913169701907965
0.281,1.4382328643458244,1.7150200500713157,-0.8727800000622239,4.9331963980491755
0.282,1.4417165329917048,1.7177371872606813,-0.8720744829966154,4.952980204416785
0.283,1.44517529535714,1.7203847808833266,-0.8711921599843748,4.97251516768198
0.284,1.448608123410759,1.7229626117082233,-0.8701346661327811,4.991795271307099
0.285,1.452013966650624,1.7254704680548163,-0.8689037767808272,5.010814437317565
0.286,1.4553917515913493,1.7279081466561654,-0.8675014126806089,5.029566528301757
0.287,1.4587403812625304,1.7302754535677853,-0.8659296452932528,5.0480453496533375
0.288,1.4620587347206935,1.7325722051238057,-0.8641907021944921,5.066244652071107
0.289,1.4653456665771594,1.7347982289420603,-0.8622869725840494,5.0841581343319575
0.29,1.4686000065444316,1.73695336497969,-0.8602210128919636,5.10177944635309
0.291,1.471820559003922,1.7390374666407926,-0.8579955524738088,5.119102192560031
0.292,1.475006102598066,1.7410504019376027,-0.8556134993855513,5.136119935577559
0.293,1.4781553898500925,1.7429920547066033,-0.8530779462274674,5.152826200260907
0.294,1.481267146814985,1.7448623258808953,-0.8503921760450817,5.169214478085105
0.295,1.4843400727654004,1.7466611348200212,-0.8475596682735702,5.185278231910494
0.296,1.4873728399165942,1.7483884206983265,-0.8445841047104334,5.201010901142718
0.297,1.4903640931946571,1.7500441439527756,-0.8414693754994704,5.216405907305597
0.298,1.4933124500526476,1.751628287790962,-0.8382195851072556,5.231456660045291
0.299,1.496216500339497,1.7531408597598452,-0.8348390582713168,5.246156563584105
0.3,1.499074806226842,1.7545818933755066,-0.831332345897134,5.2604990236420255
0.301,1.5018859021992188,1.7559514498139517,-0.8277042308789577,5.274477454843707
0.302,1.504648295113371,1.757249619662671,-0.8239597338170279,5.288085288628116
0.303,1.507360464332669,1.7584765247323426,-0.8201041186015383,5.301315981677284
0.304,1.5100208619429494,1.7596323199276693,-0.8161428978311038,5.3141630248797025
0.305,1.5126279130563445,1.7607171951759246,-0.8120818380309835,5.3266199528427585
0.306,1.5151800162099236,1.7617313774113257,-0.8079269646337033,5.338680353967247
0.307,1.5176755438662155,1.762675132612819,-0.8036845666820058,5.350337881095227
0.308,1.5201128430229027,1.7635487678923358,-0.7993612012114037,5.361586262740712
0.309,1.522490235939171,1.7643526336299524,-0.7949636972668364,5.372419314910328
0.31,1.5248060209863492,1.7650871256517333,-0.7904991595052753,5.3828309535185035
0.311,1.5270584736306172,1.7657526874453546,-0.7859749713334214,5.392815207398927
0.312,1.52924584755562,1.766349812407821,-0.7813987975270376,5.402366231910618
0.313,1.5313663759328595,1.7668790461188184,-0.7767785862760057,5.411478323133366
0.314,1.5334182728477064,1.7673409886323717,-0.7721225705968053,5.420145932643218
0.315,1.5353997348887656,1.7677362967785955,-0.7674392690520109,5.428363682854207
0.316,1.537308942908167,1.768065686466385,-0.7627374857144242,5.436126382907682
0.317,1.5391440639600775,1.7683299349769217,-0.7580263093119419,5.443429045085278
0.318,1.540903253424394,1.7685298832368466,-0.7533151114878516,5.450266901715841
0.319,1.5425846573221145,1.768666438058938,-0.7486135441105071,5.456635422540543
0.32,1.544186414828328,1.7687405743370674,-0.7439315355658538,5.462530332493907
0.321,1.5457066609880816,1.76875333718113,-0.7392792859664601,5.467947629851542
0.322,1.5471435296395712,1.7687058439766075,-0.7346672612114129,5.472883604688211
0.323,1.5484951565481802,1.7685992863523539,-0.730106185832883,5.477334857582376
0.324,1.549759682753786,1.7684349320391706,-0.7256070345672705,5.481298318495477
0.325,1.5509352581325562,1.7682141266007645,-0.7211810225918054,5.484771265746378
0.326,1.5520200451730595,1.7679382950177551,-0.7168395943713013,5.487751344993276
0.327,1.5530122229650125,1.7676089431045494,-0.712594411064452,5.4902365881272654
0.328,1.5539099913972998,1.7672276587381603,-0.7084573364448024,5.49222543197377
0.329,1.5547115755600671,1.7667961128774086,-0.704440421298254,5.493716736690076
0.33,1.5554152303437485,1.7663160603504626,-0.7005558862666827,5.494709803739754
0.331,1.55601924522575,1.7657893403883362,-0.6968161031161628,5.495204393317469
0.332,1.556521949233294,1.7652178768818327,-0.6932335744181923,5.495200741091134
0.333,1.5569217160685815,1.764603678339472,-0.6898209116432579,5.4946995741224445
0.334,1.5572169693799849,1.7639488375242525,-0.6865908116781765,5.493702125821727
0.335,1.5574061881604595,1.7632555307476327,-0.6835560317916225,5.492210149789037
0.336,1.5574879122518126,1.7625260167999475,-0.6807293630861793,5.490225932390507
0.337,1.5574607479308602,1.7617626354975788,-0.6781236024900203,5.487752303917405
0.338,1.5573233735509486,1.760967805828613,-0.6757515233567322,5.4847926481752545
0.339,1.5570745452097636,1.7601440236804577,-0.6736258447578392,5.481350910351864
0.34,1.5567131024119274,1.7592938591349292,-0.6717591995689043,5.477431603016376
0.341,1.556237973692559,1.7584199533187166,-0.6701641014666757,5.473039810106567
0.342,1.5556481821658192,1.7575250147998152,-0.6688529109712724,5.468181188768574
0.343,1.5549428509605485,1.7566118155235508,-0.6678378006836265,5.4628619689223505
0.344,1.5541212085034117,1.7556831862851248,-0.667130719884184,5.457088950437117
0.345,1.5531825936086203,1.7547420117392016,-0.6667433586737403,5.450869497814203
0.346,1.5521264603322718,1.7537912249509036,-0.6666871118512034,5.44421153228969
0.347,1.550952382548712,1.752833801496626,-0.6669730427355871,5.437123521286216
0.348,1.5496600582061493,1.7518727531273222,-0.6676118471504178,5.429614465162107
0.349,1.5482493132189727,1.750911121011226,-0.6686138177977679,5.421693881226185
0.35,1.5467201049549983,1.7499519685774256,-0.6699888092560062,5.413371785008564
0.351,1.5450725252770998,1.7489983739860953,-0.6717462038398518,5.404658668800475
0.352,1.5433068031004415,1.7480534222555655,-0.6738948785632894,5.395565477500046
0.353,1.541423306428826,1.7471201970806467,-0.6764431734451422,5.386103581825266
0.354,1.5394225438364468,1.7462017723806713,-0.6793988613935209,5.376284748979931
0.355,1.5373051653646372,1.7453012036195052,-0.6827691198988988,5.3661211108827676
0.356,1.5350719628069591,1.7444215189432242,-0.686560504756176,5.355625130093744
0.357,1.5327238693601566,1.7435657101842426,-0.6907789260239117,5.344809563594564
0.358,1.5302619586230792,1.7427367237832538,-0.6954296264138469,5.333687424601861
0.359,1.5276874429305651,1.7419374516824904,-0.7005171622863595,5.322271942611617
0.36,1.525001671014454,1.741170722245324,-0.7060453874074262,5.310576521891126
0.361,1.5222061249892354,1.7404392912582267,-0.7120174396006953,5.298614698650393
0.362,1.5193024166653153,1.73974583307143,-0.7184357304043365,5.286400097137672
0.363,1.51629228319839,1.7390929319343609,-0.7253019378170649,5.273946384913868
0.364,1.5131775820888655,1.738483073581005,-0.7326170021913523,5.2612672275674495
0.365,1.5099602855505965,1.7379186371188058,-0.7403811253048485,5.2483762431352305
0.366,1.5066424742732984,1.7374018872725483,-0.7485937726138463,5.2352869564948215
0.367,1.5032263306078577,1.736934967031976,-0.7572536786656081,5.2220127539919154
0.368,1.4997141312081514,1.7365198907486046,-0.7663588556201253,5.208566838559435
0.369,1.4961082391670617,1.7361585377234698,-0.7759066048065311,5.194962185576642
0.37,1.4924110956878702,1.7358526463234227,-0.7858935312157609,5.181211499704457
0.371,1.4886252113352136,1.7356038086590313,-0.7963155608089258,5.167327172918505
0.372,1.4847531569122066,1.735413465852444,-0.8071679605012285,5.15332124394474
0.373,1.4807975540121217,1.7352829039185524,-0.8184453606637212,5.139205359283287
0.374,1.4767610652942427,1.7352132502777586,-0.8301417799705173,5.124990735985737
0.375,1.4726463845340292,1.7352054709135332,-0.8422506524071087,5.110688126328965
0.376,1.4684562264977228,1.7352603681829097,-0.8547648562463555,5.09630778450585
0.377,1.464193316690844,1.7353785792831484,-0.8676767447926648,5.081859435429676
0.378,1.459860381028827,1.7355605753731032,-0.8809781786917852,5.067352245725578
0.379,1.4554601354762866,1.7358066613433731,-0.8946605596033765,5.052794796958934
0.38,1.4509952756991675,1.7361169762252602,-0.9087148650362371,5.0381950611279525
0.381,1.4464684667713534,1.736491494224824,-0.9231316841512918,5.0235603784257545
0.382,1.4418823329742685,1.736930026365088,-0.9379012543453054,5.008897437256701
0.383,1.4372394477246242,1.737432222716656,-0.9530134984383576,4.994212256472506
0.384,1.4325423236618402,1.7379975751947474,-0.9684580623003574,4.979510169776255
0.385,1.4277934029228783,1.7386254208988983,-0.9842243527657786,4.964795812226919
0.386,1.422995047628278,1.7393149459704167,-1.0003015757014686,4.9500731087634975
0.387,1.4181495305992065,1.7400651899420179,-1.0166787741092014,4.935345264656583
0.388,1.4132590263213787,1.7408750505540054,-1.0333448661625595,4.920614757786269
0.389,1.4083256021677717,1.7417432890118247,-1.0502886830965115,4.905883332638506
0.39,1.4033512098883343,1.7426685356608307,-1.0674990068872123,4.891151995907917
0.391,1.398337677371283,1.743649296055637,-1.0849646076792037,4.876421013593024
0.392,1.393286700677288,1.7446839574034532,-1.1026742809367716,4.861689909470503
0.393,1.3881998363447972,1.7457707953633383,-1.120616884315821,4.846957464837825
0.394,1.3830784939621206,1.7469079811862602,-1.138781374271728,4.832221719419002
0.395,1.3779239289995937,1.7480935891842595,-1.1571568424374297,4.817479973335553
0.396,1.3727372358933574,1.7493256045208272,-1.1757325518240225,4.802728790054794
0.397,1.367519341370977,1.7506019313187564,-1.1944979729132497,4.787964000239572
0.398,1.3622709980083625,1.7519204010862548,-1.2134428197275238,4.773180706437966
0.399,1.356992778007313,1.7532787814669069,-1.232557085978077,4.75837328856811
0.4,1.351685067183499,1.7546747853241504,-1.2518310814054927,4.743535410172131
0.401,1.3463480591559471,1.756106080176228,-1.2712554684389312,4.728660025434445
0.402,1.3409817497310725,1.7575702980030516,-1.2908212993107266,4.713739386982989
0.403,1.335585931477173,1.7590650454520034,-1.3105200537713104,4.6987650545178985
0.404,1.3301601884890668,1.7605879144753571,-1.3303436775554172,4.683727904340229
0.405,1.3247038913473368,1.7621364934376267,-1.3502846217538784,4.66861813988395
0.406,1.319216192282507,1.763708378736683,-1.3703358832456223,4.653425303387522
0.407,1.3136960205615236,1.7653011869877708,-1.3904910463412494,4.638138288876737
0.408,1.3081420781222228,1.7669125678245268,-1.410744325782336,4.622745356668499
0.409,1.3025528354911642,1.7685402173755116,-1.4310906112285497,4.607234149645265
0.41,1.2969265280313527,1.7701818924785213,-1.4515255133473803,4.591591711592276
0.411,1.291261152579069,1.7718354256977187,-1.4720454115975907,4.575804507933722
0.412,1.2855544645433459,1.773498741210201,-1.4926475037668392,4.559858449249556
0.413,1.279803975557627,1.7751698716286433,-1.5133298572849467,4.543738918000919
0.414,1.2740069517907997,1.776846975824776,-1.534091462286367,4.527430798938447
0.415,1.2681604130441204,1.7785283578142153,-1.5549322863370953,4.5109185137127135
0.416,1.262261132781421,1.7802124867560418,-1.5758533306714941,4.494186060248624
0.417,1.2563056392622043,1.7818980181100805,-1.596856687702617,4.47721705748368
0.418,1.2502902179705386,1.7835838159803032,-1.617945599474043,4.459994796101477
0.419,1.2442109155565753,1.7852689766536944,-1.6391245166119979,4.442502295914087
0.42,1.238063545531499,1.7869528533194736,-1.6603991572125825,4.4247223705566725
0.421,1.2318436959799028,1.7886350819232322,-1.6817765649611003,4.406637700151261
0.422,1.225546739575045,1.7903156080736335,-1.7032651656290407,4.388230912569911
0.423,1.2191678462008715,1.7919947148753455,-1.724874820931099,4.3694846738758395
0.424,1.2127019984985474,1.793673051510544,-1.746616878552775,4.350381788439649
0.425,1.2061440106628205,1.795351662332423,-1.7685042169820004,4.33090530911158
0.426,1.199488550812685,1.7970320161680526,-1.7905512836023014,4.31103865767483
0.427,1.1927301672493833,1.7987160354551668,-1.8127741243368107,4.290765755605177
0.428,1.1858633188902763,1.800406124759383,-1.8351904029816382,4.270071164915086
0.429,1.1788824101271895,1.802105198136746,-1.8578194082441892,4.2489402385643675
0.43,1.1717818303000742,1.8038167047240294,-1.8806820464200644,4.227359279574744
0.431,1.1645559978993656,1.8055446518593747,-1.903800817614604,4.205315707595913
0.432,1.1571994095116833,1.807293624962805,-1.927199773457008,4.1827982312423755
0.433,1.1497066934030864,1.8090688033450912,-1.9509044543805816,4.159797024065126
0.434,1.1420726674924062,1.8108759710700177,-1.9749418047655598,4.136303901555673
0.435,1.1342924013063396,1.8127215219754047,-1.999340064571526,4.112312496122329
0.436,1.1263612813317176,1.8146124579684861,-2.024128636531202,4.0878184265557636
